"TIME","GEO","AGE","UNIT","SEX","Value"
"2014","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","11.6"
"2014","Euro area (19 countries)","Total","Percentage of active population","Total","11.6"
"2014","Euro area (18 countries)","Total","Percentage of active population","Total","11.6"
"2014","Belgium","Total","Percentage of active population","Total","8.5"
"2014","Bulgaria","Total","Percentage of active population","Total","11.4"
"2014","Czech Republic","Total","Percentage of active population","Total","6.1"
"2014","Denmark","Total","Percentage of active population","Total","6.6"
"2014","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","5.0"
"2014","Estonia","Total","Percentage of active population","Total","7.4"
"2014","Ireland","Total","Percentage of active population","Total","11.9"
"2014","Greece","Total","Percentage of active population","Total","26.5"
"2014","Spain","Total","Percentage of active population","Total","24.5"
"2014","France","Total","Percentage of active population","Total","10.3"
"2014","Croatia","Total","Percentage of active population","Total","17.2"
"2014","Italy","Total","Percentage of active population","Total","12.7"
"2014","Cyprus","Total","Percentage of active population","Total","16.1"
"2014","Latvia","Total","Percentage of active population","Total","10.8"
"2014","Lithuania","Total","Percentage of active population","Total","10.7"
"2014","Luxembourg","Total","Percentage of active population","Total","6.0"
"2014","Hungary","Total","Percentage of active population","Total","7.7"
"2014","Malta","Total","Percentage of active population","Total","5.8"
"2014","Netherlands","Total","Percentage of active population","Total","7.4"
"2014","Austria","Total","Percentage of active population","Total","5.6"
"2014","Poland","Total","Percentage of active population","Total","9.0"
"2014","Portugal","Total","Percentage of active population","Total","14.1"
"2014","Romania","Total","Percentage of active population","Total","6.8"
"2014","Slovenia","Total","Percentage of active population","Total","9.7"
"2014","Slovakia","Total","Percentage of active population","Total","13.2"
"2014","Finland","Total","Percentage of active population","Total","8.7"
"2014","Sweden","Total","Percentage of active population","Total","7.9"
"2014","United Kingdom","Total","Percentage of active population","Total","6.1"
"2014","Iceland","Total","Percentage of active population","Total","5.0"
"2014","Norway","Total","Percentage of active population","Total","3.5"
"2014","Turkey","Total","Percentage of active population","Total","9.9"
"2014","United States","Total","Percentage of active population","Total","6.2"
"2014","Japan","Total","Percentage of active population","Total","3.6"
"2015","European Union (28 countries)","Total","Percentage of active population","Total","9.4"
"2015","European Union (27 countries)","Total","Percentage of active population","Total","9.4"
"2015","European Union (25 countries)","Total","Percentage of active population","Total","9.5"
"2015","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","10.9"
"2015","Euro area (19 countries)","Total","Percentage of active population","Total","10.9"
"2015","Euro area (18 countries)","Total","Percentage of active population","Total","10.9"
"2015","Belgium","Total","Percentage of active population","Total","8.5"
"2015","Bulgaria","Total","Percentage of active population","Total","9.2"
"2015","Czech Republic","Total","Percentage of active population","Total","5.1"
"2015","Denmark","Total","Percentage of active population","Total","6.2"
"2015","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","4.6"
"2015","Estonia","Total","Percentage of active population","Total","6.2"
"2015","Ireland","Total","Percentage of active population","Total","9.9"
"2015","Greece","Total","Percentage of active population","Total","24.9"
"2015","Spain","Total","Percentage of active population","Total","22.1"
"2015","France","Total","Percentage of active population","Total","10.4"
"2015","Croatia","Total","Percentage of active population","Total","16.1"
"2015","Italy","Total","Percentage of active population","Total","11.9"
"2015","Cyprus","Total","Percentage of active population","Total","15.0"
"2015","Latvia","Total","Percentage of active population","Total","9.9"
"2015","Lithuania","Total","Percentage of active population","Total","9.1"
"2015","Luxembourg","Total","Percentage of active population","Total","6.5"
"2015","Hungary","Total","Percentage of active population","Total","6.8"
"2015","Malta","Total","Percentage of active population","Total","5.4"
"2015","Netherlands","Total","Percentage of active population","Total","6.9"
"2015","Austria","Total","Percentage of active population","Total","5.7"
"2015","Poland","Total","Percentage of active population","Total","7.5"
"2015","Portugal","Total","Percentage of active population","Total","12.6"
"2015","Romania","Total","Percentage of active population","Total","6.8"
"2015","Slovenia","Total","Percentage of active population","Total","9.0"
"2015","Slovakia","Total","Percentage of active population","Total","11.5"
"2015","Finland","Total","Percentage of active population","Total","9.4"
"2015","Sweden","Total","Percentage of active population","Total","7.4"
"2015","United Kingdom","Total","Percentage of active population","Total","5.3"
"2015","Iceland","Total","Percentage of active population","Total","4.0"
"2015","Norway","Total","Percentage of active population","Total","4.4"
"2015","Turkey","Total","Percentage of active population","Total","10.3"
"2015","United States","Total","Percentage of active population","Total","5.3"
"2015","Japan","Total","Percentage of active population","Total","3.4"
"2016","European Union (28 countries)","Total","Percentage of active population","Total","8.6"
"2016","European Union (27 countries)","Total","Percentage of active population","Total","8.5"
"2016","European Union (25 countries)","Total","Percentage of active population","Total","8.6"
"2016","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","10.0"
"2016","Euro area (19 countries)","Total","Percentage of active population","Total","10.0"
"2016","Euro area (18 countries)","Total","Percentage of active population","Total","10.0"
"2016","Belgium","Total","Percentage of active population","Total","7.8"
"2016","Bulgaria","Total","Percentage of active population","Total","7.6"
"2016","Czech Republic","Total","Percentage of active population","Total","4.0"
"2016","Denmark","Total","Percentage of active population","Total","6.2"
"2016","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","4.1"
"2016","Estonia","Total","Percentage of active population","Total","6.8"
"2016","Ireland","Total","Percentage of active population","Total","8.4"
"2016","Greece","Total","Percentage of active population","Total","23.6"
"2016","Spain","Total","Percentage of active population","Total","19.6"
"2016","France","Total","Percentage of active population","Total","10.1"
"2016","Croatia","Total","Percentage of active population","Total","13.4"
"2016","Italy","Total","Percentage of active population","Total","11.7"
"2016","Cyprus","Total","Percentage of active population","Total","13.0"
"2016","Latvia","Total","Percentage of active population","Total","9.6"
"2016","Lithuania","Total","Percentage of active population","Total","7.9"
"2016","Luxembourg","Total","Percentage of active population","Total","6.3"
"2016","Hungary","Total","Percentage of active population","Total","5.1"
"2016","Malta","Total","Percentage of active population","Total","4.7"
"2016","Netherlands","Total","Percentage of active population","Total","6.0"
"2016","Austria","Total","Percentage of active population","Total","6.0"
"2016","Poland","Total","Percentage of active population","Total","6.2"
"2016","Portugal","Total","Percentage of active population","Total","11.2"
"2016","Romania","Total","Percentage of active population","Total","5.9"
"2016","Slovenia","Total","Percentage of active population","Total","8.0"
"2016","Slovakia","Total","Percentage of active population","Total","9.7"
"2016","Finland","Total","Percentage of active population","Total","8.8"
"2016","Sweden","Total","Percentage of active population","Total","6.9"
"2016","United Kingdom","Total","Percentage of active population","Total","4.8"
"2016","Iceland","Total","Percentage of active population","Total","3.0"
"2016","Norway","Total","Percentage of active population","Total","4.7"
"2016","Turkey","Total","Percentage of active population","Total","10.9"
"2016","United States","Total","Percentage of active population","Total","4.9"
"2016","Japan","Total","Percentage of active population","Total","3.1"
