"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2006","Euroraum (17 Länder)","Medianalter der Bevölkerung","40.5",""
"2006","Euroraum (17 Länder)","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Euroraum (17 Länder)","Anteil der Bevölkerung  jünger als 15 Jahre","15.7",""
"2006","Euroraum (17 Länder)","Anteil der Bevölkerung jünger als 20 Jahre","21.5",""
"2006","Euroraum (17 Länder)","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.2",""
"2006","Euroraum (17 Länder)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","26.4",""
"2006","Euroraum (16 Länder)","Medianalter der Bevölkerung","40.5",""
"2006","Euroraum (16 Länder)","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Euroraum (16 Länder)","Anteil der Bevölkerung  jünger als 15 Jahre","15.7",""
"2006","Euroraum (16 Länder)","Anteil der Bevölkerung jünger als 20 Jahre","21.5",""
"2006","Euroraum (16 Länder)","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.2",""
"2006","Euroraum (16 Länder)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","26.4",""
"2006","Belgien","Medianalter der Bevölkerung","40.3",""
"2006","Belgien","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.5",""
"2006","Belgien","Anteil der Bevölkerung  jünger als 15 Jahre","17.1",""
"2006","Belgien","Anteil der Bevölkerung jünger als 20 Jahre","23.1",""
"2006","Belgien","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.6",""
"2006","Belgien","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","26.2",""
"2006","Bulgarien","Medianalter der Bevölkerung","41.5",""
"2006","Bulgarien","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.2",""
"2006","Bulgarien","Anteil der Bevölkerung  jünger als 15 Jahre","13.4",""
"2006","Bulgarien","Anteil der Bevölkerung jünger als 20 Jahre","20.0",""
"2006","Bulgarien","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.2",""
"2006","Bulgarien","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","25.3",""
"2006","Tschechische Republik","Medianalter der Bevölkerung","39.0",""
"2006","Tschechische Republik","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.7",""
"2006","Tschechische Republik","Anteil der Bevölkerung  jünger als 15 Jahre","14.6",""
"2006","Tschechische Republik","Anteil der Bevölkerung jünger als 20 Jahre","21.0",""
"2006","Tschechische Republik","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.4",""
"2006","Tschechische Republik","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","20.0",""
"2006","Dänemark","Medianalter der Bevölkerung","39.7",""
"2006","Dänemark","Anteil der Bevölkerung im Alter von 0-4 Jahren","6.0",""
"2006","Dänemark","Anteil der Bevölkerung  jünger als 15 Jahre","18.7",""
"2006","Dänemark","Anteil der Bevölkerung jünger als 20 Jahre","24.5",""
"2006","Dänemark","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.3",""
"2006","Dänemark","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","22.9",""
"2006","Deutschland (bis 1990 früheres Gebiet der BRD)","Medianalter der Bevölkerung","42.3",""
"2006","Deutschland (bis 1990 früheres Gebiet der BRD)","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.3",""
"2006","Deutschland (bis 1990 früheres Gebiet der BRD)","Anteil der Bevölkerung  jünger als 15 Jahre","14.1",""
"2006","Deutschland (bis 1990 früheres Gebiet der BRD)","Anteil der Bevölkerung jünger als 20 Jahre","20.0",""
"2006","Deutschland (bis 1990 früheres Gebiet der BRD)","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.8",""
"2006","Deutschland (bis 1990 früheres Gebiet der BRD)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","28.9",""
"2006","Deutschland (einschl. ehemalige DDR)","Medianalter der Bevölkerung","42.3",""
"2006","Deutschland (einschl. ehemalige DDR)","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.3",""
"2006","Deutschland (einschl. ehemalige DDR)","Anteil der Bevölkerung  jünger als 15 Jahre","14.1",""
"2006","Deutschland (einschl. ehemalige DDR)","Anteil der Bevölkerung jünger als 20 Jahre","20.0",""
"2006","Deutschland (einschl. ehemalige DDR)","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.8",""
"2006","Deutschland (einschl. ehemalige DDR)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","28.9",""
"2006","Estland","Medianalter der Bevölkerung","39.4",""
"2006","Estland","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.0",""
"2006","Estland","Anteil der Bevölkerung  jünger als 15 Jahre","15.0",""
"2006","Estland","Anteil der Bevölkerung jünger als 20 Jahre","22.6",""
"2006","Estland","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.6",""
"2006","Estland","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","24.8",""
"2006","Irland","Medianalter der Bevölkerung","33.5",""
"2006","Irland","Anteil der Bevölkerung im Alter von 0-4 Jahren","7.2",""
"2006","Irland","Anteil der Bevölkerung  jünger als 15 Jahre","20.5",""
"2006","Irland","Anteil der Bevölkerung jünger als 20 Jahre","27.4",""
"2006","Irland","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.8",""
"2006","Irland","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","16.0",""
"2006","Griechenland","Medianalter der Bevölkerung","39.5",""
"2006","Griechenland","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.8",""
"2006","Griechenland","Anteil der Bevölkerung  jünger als 15 Jahre","14.9",""
"2006","Griechenland","Anteil der Bevölkerung jünger als 20 Jahre","20.6",""
"2006","Griechenland","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.9",""
"2006","Griechenland","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","27.7",""
"2006","Spanien","Medianalter der Bevölkerung","38.8",""
"2006","Spanien","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Spanien","Anteil der Bevölkerung  jünger als 15 Jahre","14.5",""
"2006","Spanien","Anteil der Bevölkerung jünger als 20 Jahre","19.7",""
"2006","Spanien","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.6",""
"2006","Spanien","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","24.2",""
"2006","Frankreich","Medianalter der Bevölkerung","38.9",""
"2006","Frankreich","Anteil der Bevölkerung im Alter von 0-4 Jahren","6.2",""
"2006","Frankreich","Anteil der Bevölkerung  jünger als 15 Jahre","18.5",""
"2006","Frankreich","Anteil der Bevölkerung jünger als 20 Jahre","25.1",""
"2006","Frankreich","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.2",""
"2006","Frankreich","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","25.1",""
"2006","Frankreich (metropolitanes)","Medianalter der Bevölkerung","39.1",""
"2006","Frankreich (metropolitanes)","Anteil der Bevölkerung im Alter von 0-4 Jahren","6.1",""
"2006","Frankreich (metropolitanes)","Anteil der Bevölkerung  jünger als 15 Jahre","18.3",""
"2006","Frankreich (metropolitanes)","Anteil der Bevölkerung jünger als 20 Jahre","24.9",""
"2006","Frankreich (metropolitanes)","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.1",""
"2006","Frankreich (metropolitanes)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","25.4",""
"2006","Kroatien","Medianalter der Bevölkerung","41.0",""
"2006","Kroatien","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.7",""
"2006","Kroatien","Anteil der Bevölkerung  jünger als 15 Jahre","15.8",""
"2006","Kroatien","Anteil der Bevölkerung jünger als 20 Jahre","21.8",""
"2006","Kroatien","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.5",""
"2006","Kroatien","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","26.3",""
"2006","Italien","Medianalter der Bevölkerung","42.0",""
"2006","Italien","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.7",""
"2006","Italien","Anteil der Bevölkerung  jünger als 15 Jahre","14.1",""
"2006","Italien","Anteil der Bevölkerung jünger als 20 Jahre","19.0",""
"2006","Italien","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.6",""
"2006","Italien","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","30.1",""
"2006","Zypern","Medianalter der Bevölkerung","35.1",""
"2006","Zypern","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.6",""
"2006","Zypern","Anteil der Bevölkerung  jünger als 15 Jahre","19.4",""
"2006","Zypern","Anteil der Bevölkerung jünger als 20 Jahre","27.2",""
"2006","Zypern","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.3",""
"2006","Zypern","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","17.8",""
"2006","Lettland","Medianalter der Bevölkerung","39.5",""
"2006","Lettland","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.6",""
"2006","Lettland","Anteil der Bevölkerung  jünger als 15 Jahre","14.5",""
"2006","Lettland","Anteil der Bevölkerung jünger als 20 Jahre","22.5",""
"2006","Lettland","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.2",""
"2006","Lettland","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","24.8",""
"2006","Litauen","Medianalter der Bevölkerung","38.8",""
"2006","Litauen","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.4",""
"2006","Litauen","Anteil der Bevölkerung  jünger als 15 Jahre","16.6",""
"2006","Litauen","Anteil der Bevölkerung jünger als 20 Jahre","24.1",""
"2006","Litauen","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.3",""
"2006","Litauen","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","24.3",""
"2006","Luxemburg","Medianalter der Bevölkerung","38.3",""
"2006","Luxemburg","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.9",""
"2006","Luxemburg","Anteil der Bevölkerung  jünger als 15 Jahre","18.4",""
"2006","Luxemburg","Anteil der Bevölkerung jünger als 20 Jahre","24.3",""
"2006","Luxemburg","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.3",""
"2006","Luxemburg","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","20.8",""
"2006","Ungarn","Medianalter der Bevölkerung","39.0",""
"2006","Ungarn","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.7",""
"2006","Ungarn","Anteil der Bevölkerung  jünger als 15 Jahre","15.4",""
"2006","Ungarn","Anteil der Bevölkerung jünger als 20 Jahre","21.6",""
"2006","Ungarn","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.9",""
"2006","Ungarn","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","22.9",""
"2006","Malta","Medianalter der Bevölkerung","38.6",""
"2006","Malta","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.8",""
"2006","Malta","Anteil der Bevölkerung  jünger als 15 Jahre","17.1",""
"2006","Malta","Anteil der Bevölkerung jünger als 20 Jahre","24.2",""
"2006","Malta","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.7",""
"2006","Malta","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","19.9",""
"2006","Niederlande","Medianalter der Bevölkerung","39.2",""
"2006","Niederlande","Anteil der Bevölkerung im Alter von 0-4 Jahren","6.0",""
"2006","Niederlande","Anteil der Bevölkerung  jünger als 15 Jahre","18.3",""
"2006","Niederlande","Anteil der Bevölkerung jünger als 20 Jahre","24.3",""
"2006","Niederlande","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.1",""
"2006","Niederlande","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","21.1",""
"2006","Österreich","Medianalter der Bevölkerung","40.1",""
"2006","Österreich","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.8",""
"2006","Österreich","Anteil der Bevölkerung  jünger als 15 Jahre","15.9",""
"2006","Österreich","Anteil der Bevölkerung jünger als 20 Jahre","21.9",""
"2006","Österreich","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.2",""
"2006","Österreich","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","24.3",""
"2006","Polen","Medianalter der Bevölkerung","36.7",""
"2006","Polen","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.7",""
"2006","Polen","Anteil der Bevölkerung  jünger als 15 Jahre","16.2",""
"2006","Polen","Anteil der Bevölkerung jünger als 20 Jahre","23.7",""
"2006","Polen","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.2",""
"2006","Polen","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","18.9",""
"2006","Portugal","Medianalter der Bevölkerung","39.6",""
"2006","Portugal","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.2",""
"2006","Portugal","Anteil der Bevölkerung  jünger als 15 Jahre","15.9",""
"2006","Portugal","Anteil der Bevölkerung jünger als 20 Jahre","21.4",""
"2006","Portugal","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.3",""
"2006","Portugal","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","26.0",""
"2006","Rumänien","Medianalter der Bevölkerung","37.2",""
"2006","Rumänien","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Rumänien","Anteil der Bevölkerung  jünger als 15 Jahre","16.9",""
"2006","Rumänien","Anteil der Bevölkerung jünger als 20 Jahre","23.9",""
"2006","Rumänien","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.2",""
"2006","Rumänien","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","21.6",""
"2006","Slowenien","Medianalter der Bevölkerung","40.2",""
"2006","Slowenien","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.5",""
"2006","Slowenien","Anteil der Bevölkerung  jünger als 15 Jahre","14.1",""
"2006","Slowenien","Anteil der Bevölkerung jünger als 20 Jahre","20.3",""
"2006","Slowenien","Anteil der Bevölkerung im Alter von 5-9 Jahren","4.6",""
"2006","Slowenien","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","22.2",""
"2006","Slowakei","Medianalter der Bevölkerung","35.7",""
"2006","Slowakei","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.9",""
"2006","Slowakei","Anteil der Bevölkerung  jünger als 15 Jahre","16.7",""
"2006","Slowakei","Anteil der Bevölkerung jünger als 20 Jahre","24.2",""
"2006","Slowakei","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.3",""
"2006","Slowakei","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","16.5",""
"2006","Finnland","Medianalter der Bevölkerung","41.1",""
"2006","Finnland","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.4",""
"2006","Finnland","Anteil der Bevölkerung  jünger als 15 Jahre","17.3",""
"2006","Finnland","Anteil der Bevölkerung jünger als 20 Jahre","23.4",""
"2006","Finnland","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.6",""
"2006","Finnland","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","24.0",""
"2006","Schweden","Medianalter der Bevölkerung","40.3",""
"2006","Schweden","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.5",""
"2006","Schweden","Anteil der Bevölkerung  jünger als 15 Jahre","17.3",""
"2006","Schweden","Anteil der Bevölkerung jünger als 20 Jahre","23.9",""
"2006","Schweden","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.2",""
"2006","Schweden","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","26.4",""
"2006","Vereinigtes Königreich","Medianalter der Bevölkerung","38.8",""
"2006","Vereinigtes Königreich","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.7",""
"2006","Vereinigtes Königreich","Anteil der Bevölkerung  jünger als 15 Jahre","18.0",""
"2006","Vereinigtes Königreich","Anteil der Bevölkerung jünger als 20 Jahre","24.4",""
"2006","Vereinigtes Königreich","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.9",""
"2006","Vereinigtes Königreich","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","24.0",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-28 und IS, LI, NO)","Medianalter der Bevölkerung","39.8",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-28 und IS, LI, NO)","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-28 und IS, LI, NO)","Anteil der Bevölkerung  jünger als 15 Jahre","16.1",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-28 und IS, LI, NO)","Anteil der Bevölkerung jünger als 20 Jahre","22.2",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-28 und IS, LI, NO)","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.3",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-28 und IS, LI, NO)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","25.0",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-27 und IS, LI, NO)","Medianalter der Bevölkerung","39.8",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-27 und IS, LI, NO)","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.2",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-27 und IS, LI, NO)","Anteil der Bevölkerung  jünger als 15 Jahre","16.1",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-27 und IS, LI, NO)","Anteil der Bevölkerung jünger als 20 Jahre","22.2",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-27 und IS, LI, NO)","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.3",""
"2006","Europäischer Wirtschaftsraum (EWR) (EU-27 und IS, LI, NO)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","25.0",""
"2006","Europäische Freihandelsassoziation","Medianalter der Bevölkerung","39.5",""
"2006","Europäische Freihandelsassoziation","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.4",""
"2006","Europäische Freihandelsassoziation","Anteil der Bevölkerung  jünger als 15 Jahre","17.5",""
"2006","Europäische Freihandelsassoziation","Anteil der Bevölkerung jünger als 20 Jahre","23.6",""
"2006","Europäische Freihandelsassoziation","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.8",""
"2006","Europäische Freihandelsassoziation","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","22.9",""
"2006","Island","Medianalter der Bevölkerung","34.3",""
"2006","Island","Anteil der Bevölkerung im Alter von 0-4 Jahren","7.0",""
"2006","Island","Anteil der Bevölkerung  jünger als 15 Jahre","21.8",""
"2006","Island","Anteil der Bevölkerung jünger als 20 Jahre","29.2",""
"2006","Island","Anteil der Bevölkerung im Alter von 5-9 Jahren","7.2",""
"2006","Island","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","17.6",""
"2006","Liechtenstein","Medianalter der Bevölkerung","38.7",""
"2006","Liechtenstein","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.4",""
"2006","Liechtenstein","Anteil der Bevölkerung  jünger als 15 Jahre","17.4",""
"2006","Liechtenstein","Anteil der Bevölkerung jünger als 20 Jahre","23.4",""
"2006","Liechtenstein","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.9",""
"2006","Liechtenstein","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","16.3",""
"2006","Norwegen","Medianalter der Bevölkerung","38.0",""
"2006","Norwegen","Anteil der Bevölkerung im Alter von 0-4 Jahren","6.2",""
"2006","Norwegen","Anteil der Bevölkerung  jünger als 15 Jahre","19.5",""
"2006","Norwegen","Anteil der Bevölkerung jünger als 20 Jahre","26.0",""
"2006","Norwegen","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.6",""
"2006","Norwegen","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","22.4",""
"2006","Schweiz","Medianalter der Bevölkerung","40.4",""
"2006","Schweiz","Anteil der Bevölkerung im Alter von 0-4 Jahren","4.9",""
"2006","Schweiz","Anteil der Bevölkerung  jünger als 15 Jahre","16.0",""
"2006","Schweiz","Anteil der Bevölkerung jünger als 20 Jahre","21.9",""
"2006","Schweiz","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.3",""
"2006","Schweiz","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","23.5",""
"2006","Montenegro","Medianalter der Bevölkerung","35.4",""
"2006","Montenegro","Anteil der Bevölkerung im Alter von 0-4 Jahren","6.3",""
"2006","Montenegro","Anteil der Bevölkerung  jünger als 15 Jahre","20.4",""
"2006","Montenegro","Anteil der Bevölkerung jünger als 20 Jahre","28.1",""
"2006","Montenegro","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.7",""
"2006","Montenegro","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","19.1",""
"2006","Die ehemalige jugoslawische Republik Mazedonien","Medianalter der Bevölkerung","34.5",""
"2006","Die ehemalige jugoslawische Republik Mazedonien","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.7",""
"2006","Die ehemalige jugoslawische Republik Mazedonien","Anteil der Bevölkerung  jünger als 15 Jahre","19.5",""
"2006","Die ehemalige jugoslawische Republik Mazedonien","Anteil der Bevölkerung jünger als 20 Jahre","27.4",""
"2006","Die ehemalige jugoslawische Republik Mazedonien","Anteil der Bevölkerung im Alter von 5-9 Jahren","6.3",""
