"TIME","GEO","INDIC_DE","Value"
"2006","Czech Republic","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","69.7"
"2006","Czech Republic","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","20.6"
"2006","Czech Republic","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","35.6"
"2006","Czech Republic","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","20.0"
"2006","Czech Republic","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","34.1"
"2006","Denmark","Median age of population","39.7"
"2006","Denmark","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","51.2"
"2006","Denmark","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","85.0"
"2006","Denmark","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","28.3"
"2006","Denmark","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","45.3"
"2006","Denmark","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","22.9"
"2006","Denmark","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","39.6"
"2006","Germany (until 1990 former territory of the FRG)","Median age of population","42.3"
"2006","Germany (until 1990 former territory of the FRG)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","50.1"
"2006","Germany (until 1990 former territory of the FRG)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","81.5"
"2006","Germany (until 1990 former territory of the FRG)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","21.2"
"2006","Germany (until 1990 former territory of the FRG)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","36.3"
"2006","Germany (until 1990 former territory of the FRG)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","28.9"
"2006","Germany (until 1990 former territory of the FRG)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","45.2"
"2006","Germany (including former GDR)","Median age of population","42.3"
"2006","Germany (including former GDR)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","50.1"
"2006","Germany (including former GDR)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","81.5"
"2006","Germany (including former GDR)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","21.2"
"2006","Germany (including former GDR)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","36.3"
"2006","Germany (including former GDR)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","28.9"
"2006","Germany (including former GDR)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","45.2"
"2006","Estonia","Median age of population","39.4"
"2006","Estonia","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","46.9"
"2006","Estonia","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.9"
"2006","Estonia","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","22.1"
"2006","Estonia","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","40.6"
"2006","Estonia","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","24.8"
"2006","Estonia","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","39.3"
"2006","Ireland","Median age of population","33.5"
"2006","Ireland","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","45.9"
"2006","Ireland","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","74.4"
"2006","Ireland","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","29.9"
"2006","Ireland","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","47.9"
"2006","Ireland","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","16.0"
"2006","Ireland","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","26.5"
"2006","Greece","Median age of population","39.5"
"2006","Greece","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","50.0"
"2006","Greece","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","78.8"
"2006","Greece","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","22.4"
"2006","Greece","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","36.9"
"2006","Greece","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","27.7"
"2006","Greece","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","41.9"
"2006","Spain","Median age of population","38.8"
"2006","Spain","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","45.2"
"2006","Spain","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","70.3"
"2006","Spain","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","21.1"
"2006","Spain","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","33.6"
"2006","Spain","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","24.2"
"2006","Spain","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","36.7"
"2006","France","Median age of population","38.9"
"2006","France","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","53.6"
"2006","France","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","85.1"
"2006","France","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","28.5"
"2006","France","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","46.5"
"2006","France","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","25.1"
"2006","France","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","38.6"
"2006","France (metropolitan)","Median age of population","39.1"
"2006","France (metropolitan)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","53.6"
"2006","France (metropolitan)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","85.0"
"2006","France (metropolitan)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","28.2"
"2006","France (metropolitan)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","46.0"
"2006","France (metropolitan)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","25.4"
"2006","France (metropolitan)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","38.9"
"2006","Croatia","Median age of population","41.0"
"2006","Croatia","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","49.9"
"2006","Croatia","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","80.0"
"2006","Croatia","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.7"
"2006","Croatia","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","39.2"
"2006","Croatia","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","26.3"
"2006","Croatia","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","40.8"
"2006","Italy","Median age of population","42.0"
"2006","Italy","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","51.5"
"2006","Italy","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.6"
"2006","Italy","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","21.4"
"2006","Italy","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","34.2"
"2006","Italy","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","30.1"
"2006","Italy","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","45.4"
"2006","Cyprus","Median age of population","35.1"
"2006","Cyprus","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","46.1"
"2006","Cyprus","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","78.4"
"2006","Cyprus","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","28.3"
"2006","Cyprus","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","48.6"
"2006","Cyprus","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","17.8"
"2006","Cyprus","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","29.8"
"2006","Latvia","Median age of population","39.5"
"2006","Latvia","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","46.0"
"2006","Latvia","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","81.5"
"2006","Latvia","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","21.2"
"2006","Latvia","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","40.8"
"2006","Latvia","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","24.8"
"2006","Latvia","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","40.7"
"2006","Lithuania","Median age of population","38.8"
"2006","Lithuania","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","48.9"
"2006","Lithuania","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","83.7"
"2006","Lithuania","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","24.7"
"2006","Lithuania","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","44.3"
"2006","Lithuania","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","24.3"
"2006","Lithuania","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","39.4"
"2006","Luxembourg","Median age of population","38.3"
"2006","Luxembourg","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","48.2"
"2006","Luxembourg","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","75.0"
"2006","Luxembourg","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","27.3"
"2006","Luxembourg","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","42.5"
"2006","Luxembourg","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","20.8"
"2006","Luxembourg","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","32.5"
"2006","Hungary","Median age of population","39.0"
"2006","Hungary","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","45.4"
"2006","Hungary","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","75.6"
"2006","Hungary","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","22.4"
"2006","Hungary","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","38.0"
"2006","Hungary","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","22.9"
"2006","Hungary","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","37.6"
"2006","Malta","Median age of population","38.6"
"2006","Malta","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","44.7"
"2006","Malta","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","76.7"
"2006","Malta","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","24.7"
"2006","Malta","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","42.8"
"2006","Malta","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","19.9"
"2006","Malta","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","33.9"
"2006","Netherlands","Median age of population","39.2"
"2006","Netherlands","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","48.2"
"2006","Netherlands","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","77.7"
"2006","Netherlands","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","27.1"
"2006","Netherlands","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","43.3"
"2006","Netherlands","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","21.1"
"2006","Netherlands","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","34.5"
"2006","Austria","Median age of population","40.1"
"2006","Austria","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","47.8"
"2006","Austria","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","77.7"
"2006","Austria","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.5"
"2006","Austria","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","38.8"
"2006","Austria","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","24.3"
"2006","Austria","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","38.9"
"2006","Poland","Median age of population","36.7"
"2006","Poland","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","41.9"
"2006","Poland","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","69.3"
"2006","Poland","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.0"
"2006","Poland","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","40.2"
"2006","Poland","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","18.9"
"2006","Poland","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","29.1"
"2006","Portugal","Median age of population","39.6"
"2006","Portugal","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","49.8"
"2006","Portugal","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","78.8"
"2006","Portugal","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.8"
"2006","Portugal","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","38.3"
"2006","Portugal","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","26.0"
"2006","Portugal","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","40.5"
"2006","Romania","Median age of population","37.2"
"2006","Romania","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","46.2"
"2006","Romania","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","78.8"
"2006","Romania","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","24.7"
"2006","Romania","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","42.7"
"2006","Romania","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","21.6"
"2006","Romania","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","36.1"
"2006","Slovenia","Median age of population","40.2"
"2006","Slovenia","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","42.4"
"2006","Slovenia","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","69.1"
"2006","Slovenia","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","20.1"
"2006","Slovenia","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","34.3"
"2006","Slovenia","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","22.2"
"2006","Slovenia","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","34.9"
"2006","Slovakia","Median age of population","35.7"
"2006","Slovakia","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","39.8"
"2006","Slovakia","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","68.0"
"2006","Slovakia","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.3"
"2006","Slovakia","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","40.7"
"2006","Slovakia","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","16.5"
"2006","Slovakia","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","27.3"
"2006","Finland","Median age of population","41.1"
"2006","Finland","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","49.8"
"2006","Finland","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","81.9"
"2006","Finland","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","25.9"
"2006","Finland","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","42.5"
"2006","Finland","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","24.0"
"2006","Finland","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","39.4"
"2006","Sweden","Median age of population","40.3"
"2006","Sweden","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","52.8"
"2006","Sweden","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","90.5"
"2006","Sweden","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","26.4"
"2006","Sweden","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","45.5"
"2006","Sweden","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","26.4"
"2006","Sweden","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","45.0"
"2006","United Kingdom","Median age of population","38.8"
"2006","United Kingdom","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","51.2"
"2006","United Kingdom","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","83.7"
"2006","United Kingdom","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","27.2"
"2006","United Kingdom","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","44.9"
"2006","United Kingdom","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","24.0"
"2006","United Kingdom","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","38.8"
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Median age of population","39.8"
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","48.9"
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.1"
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","24.0"
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","39.8"
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","25.0"
"2006","European Economic Area (EU-28 plus IS, LI, NO)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","39.2"
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Median age of population","39.8"
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","48.9"
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.1"
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","24.0"
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","39.8"
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","25.0"
"2006","European Economic Area (EU-27 plus IS, LI, NO)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","39.2"
"2006","European Free Trade Association","Median age of population","39.5"
"2006","European Free Trade Association","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","48.9"
"2006","European Free Trade Association","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","80.0"
"2006","European Free Trade Association","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","26.0"
"2006","European Free Trade Association","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","42.5"
"2006","European Free Trade Association","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","22.9"
"2006","European Free Trade Association","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","37.5"
"2006","Iceland","Median age of population","34.3"
"2006","Iceland","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","50.3"
"2006","Iceland","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","82.1"
"2006","Iceland","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","32.8"
"2006","Iceland","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","53.3"
"2006","Iceland","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","17.6"
"2006","Iceland","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","28.9"
"2006","Liechtenstein","Median age of population","38.7"
"2006","Liechtenstein","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","40.7"
"2006","Liechtenstein","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","67.9"
"2006","Liechtenstein","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","24.4"
"2006","Liechtenstein","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","39.3"
"2006","Liechtenstein","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","16.3"
"2006","Liechtenstein","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","28.6"
"2006","Norway","Median age of population","38.0"
