"TIME","GEO","AGE","SEX","UNIT","Value"
"1950","Liechtenstein","Total","Total","Number","13,420"
"1950","Norway","Total","Total","Number","3,249,954"
"1950","Switzerland","Total","Total","Number","4,668,000"
"1950","Montenegro","Total","Total","Number",":"
"1950","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1950","Albania","Total","Total","Number",":"
"1950","Serbia","Total","Total","Number",":"
"1950","Turkey","Total","Total","Number",":"
"1950","Andorra","Total","Total","Number",":"
"1950","Belarus","Total","Total","Number",":"
"1950","Bosnia and Herzegovina","Total","Total","Number",":"
"1950","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1950","Moldova","Total","Total","Number",":"
"1950","Monaco","Total","Total","Number",":"
"1950","Russia","Total","Total","Number",":"
"1950","San Marino","Total","Total","Number",":"
"1950","Ukraine","Total","Total","Number",":"
"1950","Armenia","Total","Total","Number",":"
"1950","Azerbaijan","Total","Total","Number",":"
"1950","Georgia","Total","Total","Number",":"
"1951","European Union (28 countries)","Total","Total","Number",":"
"1951","European Union (27 countries)","Total","Total","Number",":"
"1951","Euro area (19 countries)","Total","Total","Number",":"
"1951","Euro area (18 countries)","Total","Total","Number",":"
"1951","Belgium","Total","Total","Number",":"
"1951","Bulgaria","Total","Total","Number",":"
"1951","Czech Republic","Total","Total","Number",":"
"1951","Denmark","Total","Total","Number","4,285,439"
"1951","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1951","Germany including former GDR","Total","Total","Number","69,346,297"
"1951","Estonia","Total","Total","Number",":"
"1951","Ireland","Total","Total","Number","2,961,800"
"1951","Greece","Total","Total","Number",":"
"1951","Spain","Total","Total","Number",":"
"1951","France","Total","Total","Number",":"
"1951","France (metropolitan)","Total","Total","Number","42,010,088"
"1951","Croatia","Total","Total","Number",":"
"1951","Italy","Total","Total","Number",":"
"1951","Cyprus","Total","Total","Number",":"
"1951","Latvia","Total","Total","Number",":"
"1951","Lithuania","Total","Total","Number",":"
"1951","Luxembourg","Total","Total","Number","295,506"
"1951","Hungary","Total","Total","Number",":"
"1951","Malta","Total","Total","Number",":"
"1951","Netherlands","Total","Total","Number","10,200,280"
"1951","Austria","Total","Total","Number","6,944,239"
"1951","Poland","Total","Total","Number",":"
"1951","Portugal","Total","Total","Number","8,441,312"
"1951","Romania","Total","Total","Number",":"
"1951","Slovenia","Total","Total","Number",":"
"1951","Slovakia","Total","Total","Number",":"
"1951","Finland","Total","Total","Number","4,029,803"
"1951","Sweden","Total","Total","Number","7,046,920"
"1951","United Kingdom","Total","Total","Number",":"
"1951","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1951","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1951","European Free Trade Association","Total","Total","Number","8,155,546"
"1951","Iceland","Total","Total","Number","144,293"
"1951","Liechtenstein","Total","Total","Number","13,757"
"1951","Norway","Total","Total","Number","3,280,296"
"1951","Switzerland","Total","Total","Number","4,717,200"
"1951","Montenegro","Total","Total","Number",":"
"1951","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1951","Albania","Total","Total","Number",":"
"1951","Serbia","Total","Total","Number",":"
"1951","Turkey","Total","Total","Number",":"
"1951","Andorra","Total","Total","Number",":"
"1951","Belarus","Total","Total","Number",":"
"1951","Bosnia and Herzegovina","Total","Total","Number",":"
"1951","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1951","Moldova","Total","Total","Number",":"
"1951","Monaco","Total","Total","Number",":"
"1951","Russia","Total","Total","Number",":"
"1951","San Marino","Total","Total","Number",":"
"1951","Ukraine","Total","Total","Number",":"
"1951","Armenia","Total","Total","Number",":"
"1951","Azerbaijan","Total","Total","Number",":"
"1951","Georgia","Total","Total","Number",":"
"1952","European Union (28 countries)","Total","Total","Number",":"
"1952","European Union (27 countries)","Total","Total","Number",":"
"1952","Euro area (19 countries)","Total","Total","Number",":"
"1952","Euro area (18 countries)","Total","Total","Number",":"
"1952","Belgium","Total","Total","Number",":"
"1952","Bulgaria","Total","Total","Number",":"
"1952","Czech Republic","Total","Total","Number",":"
"1952","Denmark","Total","Total","Number","4,315,325"
"1952","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1952","Germany including former GDR","Total","Total","Number","69,784,905"
"1952","Estonia","Total","Total","Number",":"
"1952","Ireland","Total","Total","Number","2,954,500"
"1952","Greece","Total","Total","Number",":"
"1952","Spain","Total","Total","Number",":"
"1952","France","Total","Total","Number",":"
"1952","France (metropolitan)","Total","Total","Number","42,300,981"
"1952","Croatia","Total","Total","Number",":"
"1952","Italy","Total","Total","Number","47,538,900"
"1952","Cyprus","Total","Total","Number",":"
"1952","Latvia","Total","Total","Number",":"
"1952","Lithuania","Total","Total","Number",":"
"1952","Luxembourg","Total","Total","Number","298,344"
"1952","Hungary","Total","Total","Number",":"
"1952","Malta","Total","Total","Number",":"
"1952","Netherlands","Total","Total","Number","10,328,343"
"1952","Austria","Total","Total","Number","6,926,663"
"1952","Poland","Total","Total","Number",":"
"1952","Portugal","Total","Total","Number","8,545,320"
"1952","Romania","Total","Total","Number",":"
"1952","Slovenia","Total","Total","Number",":"
"1952","Slovakia","Total","Total","Number",":"
"1952","Finland","Total","Total","Number","4,064,727"
"1952","Sweden","Total","Total","Number","7,098,740"
"1952","United Kingdom","Total","Total","Number",":"
"1952","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1952","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1952","European Free Trade Association","Total","Total","Number","8,250,866"
"1952","Iceland","Total","Total","Number","146,540"
"1952","Liechtenstein","Total","Total","Number","13,980"
"1952","Norway","Total","Total","Number","3,311,446"
"1952","Switzerland","Total","Total","Number","4,778,900"
"1952","Montenegro","Total","Total","Number",":"
"1952","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1952","Albania","Total","Total","Number",":"
"1952","Serbia","Total","Total","Number",":"
"1952","Turkey","Total","Total","Number",":"
"1952","Andorra","Total","Total","Number",":"
"1952","Belarus","Total","Total","Number",":"
"1952","Bosnia and Herzegovina","Total","Total","Number",":"
"1952","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1952","Moldova","Total","Total","Number",":"
"1952","Monaco","Total","Total","Number",":"
"1952","Russia","Total","Total","Number",":"
"1952","San Marino","Total","Total","Number",":"
"1952","Ukraine","Total","Total","Number",":"
"1952","Armenia","Total","Total","Number",":"
"1952","Azerbaijan","Total","Total","Number",":"
"1952","Georgia","Total","Total","Number",":"
"1953","European Union (28 countries)","Total","Total","Number",":"
"1953","European Union (27 countries)","Total","Total","Number",":"
"1953","Euro area (19 countries)","Total","Total","Number",":"
"1953","Euro area (18 countries)","Total","Total","Number",":"
"1953","Belgium","Total","Total","Number",":"
"1953","Bulgaria","Total","Total","Number",":"
"1953","Czech Republic","Total","Total","Number",":"
"1953","Denmark","Total","Total","Number","4,349,399"
"1953","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1953","Germany including former GDR","Total","Total","Number","70,164,772"
"1953","Estonia","Total","Total","Number",":"
"1953","Ireland","Total","Total","Number","2,949,900"
"1953","Greece","Total","Total","Number",":"
"1953","Spain","Total","Total","Number",":"
"1953","France","Total","Total","Number",":"
"1953","France (metropolitan)","Total","Total","Number","42,618,354"
"1953","Croatia","Total","Total","Number",":"
"1953","Italy","Total","Total","Number","47,792,100"
"1953","Cyprus","Total","Total","Number",":"
"1953","Latvia","Total","Total","Number",":"
"1953","Lithuania","Total","Total","Number",":"
"1953","Luxembourg","Total","Total","Number","300,182"
"1953","Hungary","Total","Total","Number",":"
"1953","Malta","Total","Total","Number",":"
"1953","Netherlands","Total","Total","Number","10,435,631"
"1953","Austria","Total","Total","Number","6,928,881"
"1953","Poland","Total","Total","Number",":"
"1953","Portugal","Total","Total","Number","8,566,850"
"1953","Romania","Total","Total","Number",":"
"1953","Slovenia","Total","Total","Number",":"
"1953","Slovakia","Total","Total","Number",":"
"1953","Finland","Total","Total","Number","4,116,228"
"1953","Sweden","Total","Total","Number","7,150,606"
"1953","United Kingdom","Total","Total","Number",":"
"1953","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1953","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1953","European Free Trade Association","Total","Total","Number","8,351,288"
"1953","Iceland","Total","Total","Number","148,978"
"1953","Liechtenstein","Total","Total","Number","14,200"
"1953","Norway","Total","Total","Number","3,344,010"
"1953","Switzerland","Total","Total","Number","4,844,100"
"1953","Montenegro","Total","Total","Number",":"
"1953","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1953","Albania","Total","Total","Number",":"
"1953","Serbia","Total","Total","Number",":"
"1953","Turkey","Total","Total","Number",":"
"1953","Andorra","Total","Total","Number",":"
"1953","Belarus","Total","Total","Number",":"
"1953","Bosnia and Herzegovina","Total","Total","Number",":"
"1953","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1953","Moldova","Total","Total","Number",":"
"1953","Monaco","Total","Total","Number",":"
"1953","Russia","Total","Total","Number",":"
"1953","San Marino","Total","Total","Number",":"
"1953","Ukraine","Total","Total","Number",":"
"1953","Armenia","Total","Total","Number",":"
"1953","Azerbaijan","Total","Total","Number",":"
"1953","Georgia","Total","Total","Number",":"
"1954","European Union (28 countries)","Total","Total","Number",":"
"1954","European Union (27 countries)","Total","Total","Number",":"
"1954","Euro area (19 countries)","Total","Total","Number",":"
"1954","Euro area (18 countries)","Total","Total","Number",":"
"1954","Belgium","Total","Total","Number","8,798,046"
"1954","Bulgaria","Total","Total","Number",":"
"1954","Czech Republic","Total","Total","Number",":"
"1954","Denmark","Total","Total","Number","4,389,154"
"1954","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1954","Germany including former GDR","Total","Total","Number","70,565,928"
"1954","Estonia","Total","Total","Number",":"
"1954","Ireland","Total","Total","Number","2,943,100"
"1954","Greece","Total","Total","Number",":"
"1954","Spain","Total","Total","Number",":"
"1954","France","Total","Total","Number",":"
"1954","France (metropolitan)","Total","Total","Number","42,885,138"
"1954","Croatia","Total","Total","Number",":"
"1954","Italy","Total","Total","Number","48,122,600"
"1954","Cyprus","Total","Total","Number",":"
"1954","Latvia","Total","Total","Number",":"
"1954","Lithuania","Total","Total","Number",":"
"1954","Luxembourg","Total","Total","Number","302,020"
"1954","Hungary","Total","Total","Number",":"
"1954","Malta","Total","Total","Number",":"
"1954","Netherlands","Total","Total","Number","10,550,737"
"1954","Austria","Total","Total","Number","6,936,085"
"1954","Poland","Total","Total","Number",":"
"1954","Portugal","Total","Total","Number","8,595,660"
"1954","Romania","Total","Total","Number",":"
"1954","Slovenia","Total","Total","Number",":"
"1954","Slovakia","Total","Total","Number",":"
"1954","Finland","Total","Total","Number","4,162,609"
"1954","Sweden","Total","Total","Number","7,192,316"
"1954","United Kingdom","Total","Total","Number","50,700,000"
"1954","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1954","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1954","European Free Trade Association","Total","Total","Number","8,451,692"
"1954","Iceland","Total","Total","Number","152,506"
"1954","Liechtenstein","Total","Total","Number","14,420"
"1954","Norway","Total","Total","Number","3,377,766"
"1954","Switzerland","Total","Total","Number","4,907,000"
"1954","Montenegro","Total","Total","Number",":"
"1954","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1954","Albania","Total","Total","Number",":"
"1954","Serbia","Total","Total","Number",":"
"1954","Turkey","Total","Total","Number",":"
"1954","Andorra","Total","Total","Number",":"
"1954","Belarus","Total","Total","Number",":"
"1954","Bosnia and Herzegovina","Total","Total","Number",":"
"1954","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1954","Moldova","Total","Total","Number",":"
"1954","Monaco","Total","Total","Number",":"
"1954","Russia","Total","Total","Number",":"
"1954","San Marino","Total","Total","Number",":"
"1954","Ukraine","Total","Total","Number",":"
"1954","Armenia","Total","Total","Number",":"
"1954","Azerbaijan","Total","Total","Number",":"
"1954","Georgia","Total","Total","Number",":"
"1955","European Union (28 countries)","Total","Total","Number",":"
"1955","European Union (27 countries)","Total","Total","Number",":"
"1955","Euro area (19 countries)","Total","Total","Number",":"
"1955","Euro area (18 countries)","Total","Total","Number",":"
"1955","Belgium","Total","Total","Number","8,840,701"
"1955","Bulgaria","Total","Total","Number",":"
"1955","Czech Republic","Total","Total","Number",":"
"1955","Denmark","Total","Total","Number","4,423,995"
"1955","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1955","Germany including former GDR","Total","Total","Number","70,944,842"
"1955","Estonia","Total","Total","Number",":"
"1955","Ireland","Total","Total","Number","2,926,000"
"1955","Greece","Total","Total","Number","7,966,000"
"1955","Spain","Total","Total","Number","29,200,000"
"1955","France","Total","Total","Number",":"
"1955","France (metropolitan)","Total","Total","Number","43,227,872"
"1955","Croatia","Total","Total","Number",":"
"1955","Italy","Total","Total","Number","48,476,700"
"1955","Cyprus","Total","Total","Number",":"
"1955","Latvia","Total","Total","Number",":"
"1955","Lithuania","Total","Total","Number",":"
"1955","Luxembourg","Total","Total","Number","303,858"
"1955","Hungary","Total","Total","Number",":"
"1955","Malta","Total","Total","Number",":"
"1955","Netherlands","Total","Total","Number","10,680,023"
"1955","Austria","Total","Total","Number","6,944,333"
"1955","Poland","Total","Total","Number",":"
"1955","Portugal","Total","Total","Number","8,615,740"
"1955","Romania","Total","Total","Number",":"
"1955","Slovenia","Total","Total","Number",":"
"1955","Slovakia","Total","Total","Number",":"
"1955","Finland","Total","Total","Number","4,211,191"
"1955","Sweden","Total","Total","Number","7,234,664"
"1955","United Kingdom","Total","Total","Number","50,900,000"
"1955","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1955","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1955","European Free Trade Association","Total","Total","Number","8,551,699"
"1955","Iceland","Total","Total","Number","156,033"
"1955","Liechtenstein","Total","Total","Number","14,640"
"1955","Norway","Total","Total","Number","3,410,726"
"1955","Switzerland","Total","Total","Number","4,970,300"
"1955","Montenegro","Total","Total","Number",":"
"1955","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1955","Albania","Total","Total","Number",":"
"1955","Serbia","Total","Total","Number",":"
"1955","Turkey","Total","Total","Number",":"
"1955","Andorra","Total","Total","Number",":"
"1955","Belarus","Total","Total","Number",":"
"1955","Bosnia and Herzegovina","Total","Total","Number",":"
"1955","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1955","Moldova","Total","Total","Number",":"
"1955","Monaco","Total","Total","Number",":"
"1955","Russia","Total","Total","Number",":"
"1955","San Marino","Total","Total","Number",":"
"1955","Ukraine","Total","Total","Number",":"
"1955","Armenia","Total","Total","Number",":"
"1955","Azerbaijan","Total","Total","Number",":"
"1955","Georgia","Total","Total","Number",":"
"1956","European Union (28 countries)","Total","Total","Number",":"
"1956","European Union (27 countries)","Total","Total","Number",":"
"1956","Euro area (19 countries)","Total","Total","Number",":"
"1956","Euro area (18 countries)","Total","Total","Number",":"
"1956","Belgium","Total","Total","Number","8,896,200"
"1956","Bulgaria","Total","Total","Number",":"
"1956","Czech Republic","Total","Total","Number",":"
"1956","Denmark","Total","Total","Number","4,454,016"
"1956","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1956","Germany including former GDR","Total","Total","Number","71,349,915"
"1956","Estonia","Total","Total","Number",":"
"1956","Ireland","Total","Total","Number","2,904,100"
"1956","Greece","Total","Total","Number",":"
"1956","Spain","Total","Total","Number",":"
"1956","France","Total","Total","Number",":"
"1956","France (metropolitan)","Total","Total","Number","43,627,467"
"1956","Croatia","Total","Total","Number",":"
"1956","Italy","Total","Total","Number","48,788,500"
"1956","Cyprus","Total","Total","Number",":"
"1956","Latvia","Total","Total","Number",":"
"1956","Lithuania","Total","Total","Number",":"
"1956","Luxembourg","Total","Total","Number","305,696"
"1956","Hungary","Total","Total","Number",":"
"1956","Malta","Total","Total","Number",":"
"1956","Netherlands","Total","Total","Number","10,821,661"
"1956","Austria","Total","Total","Number","6,949,437"
"1956","Poland","Total","Total","Number",":"
"1956","Portugal","Total","Total","Number","8,664,910"
"1956","Romania","Total","Total","Number",":"
"1956","Slovenia","Total","Total","Number",":"
"1956","Slovakia","Total","Total","Number",":"
"1956","Finland","Total","Total","Number","4,258,571"
"1956","Sweden","Total","Total","Number","7,290,112"
"1956","United Kingdom","Total","Total","Number","51,100,000"
"1956","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1956","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1956","European Free Trade Association","Total","Total","Number","8,653,714"
"1956","Iceland","Total","Total","Number","159,480"
"1956","Liechtenstein","Total","Total","Number","14,861"
"1956","Norway","Total","Total","Number","3,445,673"
"1956","Switzerland","Total","Total","Number","5,033,700"
"1956","Montenegro","Total","Total","Number",":"
"1956","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1956","Albania","Total","Total","Number",":"
"1956","Serbia","Total","Total","Number",":"
"1956","Turkey","Total","Total","Number",":"
"1956","Andorra","Total","Total","Number",":"
"1956","Belarus","Total","Total","Number",":"
"1956","Bosnia and Herzegovina","Total","Total","Number",":"
"1956","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1956","Moldova","Total","Total","Number",":"
"1956","Monaco","Total","Total","Number",":"
"1956","Russia","Total","Total","Number",":"
"1956","San Marino","Total","Total","Number",":"
"1956","Ukraine","Total","Total","Number",":"
"1956","Armenia","Total","Total","Number",":"
"1956","Azerbaijan","Total","Total","Number",":"
"1956","Georgia","Total","Total","Number",":"
"1957","European Union (28 countries)","Total","Total","Number",":"
"1957","European Union (27 countries)","Total","Total","Number",":"
"1957","Euro area (19 countries)","Total","Total","Number",":"
"1957","Euro area (18 countries)","Total","Total","Number",":"
"1957","Belgium","Total","Total","Number","8,951,400"
"1957","Bulgaria","Total","Total","Number",":"
"1957","Czech Republic","Total","Total","Number",":"
"1957","Denmark","Total","Total","Number","4,479,024"
"1957","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1957","Germany including former GDR","Total","Total","Number","70,943,304"
"1957","Estonia","Total","Total","Number",":"
"1957","Ireland","Total","Total","Number","2,888,500"
"1957","Greece","Total","Total","Number",":"
"1957","Spain","Total","Total","Number",":"
"1957","France","Total","Total","Number",":"
"1957","France (metropolitan)","Total","Total","Number","44,058,683"
"1957","Croatia","Total","Total","Number",":"
"1957","Italy","Total","Total","Number","49,053,600"
"1957","Cyprus","Total","Total","Number",":"
"1957","Latvia","Total","Total","Number",":"
"1957","Lithuania","Total","Total","Number",":"
"1957","Luxembourg","Total","Total","Number","307,534"
"1957","Hungary","Total","Total","Number",":"
"1957","Malta","Total","Total","Number",":"
"1957","Netherlands","Total","Total","Number","10,957,040"
"1957","Austria","Total","Total","Number","6,955,281"
"1957","Poland","Total","Total","Number",":"
"1957","Portugal","Total","Total","Number","8,701,130"
"1957","Romania","Total","Total","Number",":"
"1957","Slovenia","Total","Total","Number",":"
"1957","Slovakia","Total","Total","Number",":"
"1957","Finland","Total","Total","Number","4,304,832"
"1957","Sweden","Total","Total","Number","7,341,122"
"1957","United Kingdom","Total","Total","Number","51,300,000"
"1957","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1957","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1957","European Free Trade Association","Total","Total","Number","8,751,041"
"1957","Iceland","Total","Total","Number","162,700"
"1957","Liechtenstein","Total","Total","Number","15,051"
"1957","Norway","Total","Total","Number","3,475,890"
"1957","Switzerland","Total","Total","Number","5,097,400"
"1957","Montenegro","Total","Total","Number",":"
"1957","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1957","Albania","Total","Total","Number",":"
"1957","Serbia","Total","Total","Number",":"
"1957","Turkey","Total","Total","Number",":"
"1957","Andorra","Total","Total","Number",":"
"1957","Belarus","Total","Total","Number",":"
"1957","Bosnia and Herzegovina","Total","Total","Number",":"
"1957","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1957","Moldova","Total","Total","Number",":"
"1957","Monaco","Total","Total","Number",":"
"1957","Russia","Total","Total","Number",":"
"1957","San Marino","Total","Total","Number",":"
"1957","Ukraine","Total","Total","Number",":"
"1957","Armenia","Total","Total","Number",":"
"1957","Azerbaijan","Total","Total","Number",":"
"1957","Georgia","Total","Total","Number",":"
"1958","European Union (28 countries)","Total","Total","Number",":"
"1958","European Union (27 countries)","Total","Total","Number",":"
"1958","Euro area (19 countries)","Total","Total","Number",":"
"1958","Euro area (18 countries)","Total","Total","Number",":"
"1958","Belgium","Total","Total","Number","9,026,700"
"1958","Bulgaria","Total","Total","Number",":"
"1958","Czech Republic","Total","Total","Number",":"
"1958","Denmark","Total","Total","Number","4,500,713"
"1958","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1958","Germany including former GDR","Total","Total","Number","71,475,035"
"1958","Estonia","Total","Total","Number",":"
"1958","Ireland","Total","Total","Number","2,860,800"
"1958","Greece","Total","Total","Number",":"
"1958","Spain","Total","Total","Number",":"
"1958","France","Total","Total","Number",":"
"1958","France (metropolitan)","Total","Total","Number","44,563,043"
"1958","Croatia","Total","Total","Number",":"
"1958","Italy","Total","Total","Number","49,312,700"
"1958","Cyprus","Total","Total","Number",":"
"1958","Latvia","Total","Total","Number",":"
"1958","Lithuania","Total","Total","Number",":"
"1958","Luxembourg","Total","Total","Number","309,372"
"1958","Hungary","Total","Total","Number",":"
"1958","Malta","Total","Total","Number",":"
"1958","Netherlands","Total","Total","Number","11,095,726"
"1958","Austria","Total","Total","Number","6,976,439"
"1958","Poland","Total","Total","Number",":"
"1958","Portugal","Total","Total","Number","8,724,220"
"1958","Romania","Total","Total","Number",":"
"1958","Slovenia","Total","Total","Number",":"
"1958","Slovakia","Total","Total","Number",":"
"1958","Finland","Total","Total","Number","4,343,190"
"1958","Sweden","Total","Total","Number","7,392,872"
"1958","United Kingdom","Total","Total","Number","51,500,000"
"1958","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1958","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1958","European Free Trade Association","Total","Total","Number","8,852,978"
"1958","Iceland","Total","Total","Number","166,831"
"1958","Liechtenstein","Total","Total","Number","15,361"
"1958","Norway","Total","Total","Number","3,507,986"
"1958","Switzerland","Total","Total","Number","5,162,800"
"1958","Montenegro","Total","Total","Number",":"
"1958","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1958","Albania","Total","Total","Number",":"
"1958","Serbia","Total","Total","Number",":"
"1958","Turkey","Total","Total","Number",":"
"1958","Andorra","Total","Total","Number",":"
"1958","Belarus","Total","Total","Number",":"
"1958","Bosnia and Herzegovina","Total","Total","Number",":"
"1958","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
