"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2008M02","Luxembourg","Total","Total","Total","Asylum applicant","Person","25"
"2008M02","Luxembourg","Total","Total","Total","First time applicant","Person",":"
"2008M02","Hungary","Total","Total","Total","Asylum applicant","Person","240"
"2008M02","Hungary","Total","Total","Total","First time applicant","Person",":"
"2008M02","Malta","Total","Total","Total","Asylum applicant","Person","150"
"2008M02","Malta","Total","Total","Total","First time applicant","Person","150"
"2008M02","Netherlands","Total","Total","Total","Asylum applicant","Person","1,050"
"2008M02","Netherlands","Total","Total","Total","First time applicant","Person","860"
"2008M02","Austria","Total","Total","Total","Asylum applicant","Person","880"
"2008M02","Austria","Total","Total","Total","First time applicant","Person",":"
"2008M02","Poland","Total","Total","Total","Asylum applicant","Person","760"
"2008M02","Poland","Total","Total","Total","First time applicant","Person","635"
"2008M02","Portugal","Total","Total","Total","Asylum applicant","Person","15"
"2008M02","Portugal","Total","Total","Total","First time applicant","Person","15"
"2008M02","Romania","Total","Total","Total","Asylum applicant","Person","60"
"2008M02","Romania","Total","Total","Total","First time applicant","Person",":"
"2008M02","Slovenia","Total","Total","Total","Asylum applicant","Person","15"
"2008M02","Slovenia","Total","Total","Total","First time applicant","Person","15"
"2008M02","Slovakia","Total","Total","Total","Asylum applicant","Person","60"
"2008M02","Slovakia","Total","Total","Total","First time applicant","Person",":"
"2008M02","Finland","Total","Total","Total","Asylum applicant","Person","100"
"2008M02","Finland","Total","Total","Total","First time applicant","Person",":"
"2008M02","Sweden","Total","Total","Total","Asylum applicant","Person","2,245"
"2008M02","Sweden","Total","Total","Total","First time applicant","Person","2,210"
"2008M02","United Kingdom","Total","Total","Total","Asylum applicant","Person",":"
"2008M02","United Kingdom","Total","Total","Total","First time applicant","Person","2,585"
"2008M02","Iceland","Total","Total","Total","Asylum applicant","Person","5"
"2008M02","Iceland","Total","Total","Total","First time applicant","Person",":"
"2008M02","Liechtenstein","Total","Total","Total","Asylum applicant","Person","5"
"2008M02","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2008M02","Norway","Total","Total","Total","Asylum applicant","Person","785"
"2008M02","Norway","Total","Total","Total","First time applicant","Person","760"
"2008M02","Switzerland","Total","Total","Total","Asylum applicant","Person","860"
"2008M02","Switzerland","Total","Total","Total","First time applicant","Person","755"
"2008M02","Total","Total","Total","Total","Asylum applicant","Person","18,635"
"2008M02","Total","Total","Total","Total","First time applicant","Person","12,835"
"2008M03","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","15,645"
"2008M03","European Union (28 countries)","Total","Total","Total","First time applicant","Person","10,825"
"2008M03","Belgium","Total","Total","Total","Asylum applicant","Person","1,080"
"2008M03","Belgium","Total","Total","Total","First time applicant","Person","750"
"2008M03","Bulgaria","Total","Total","Total","Asylum applicant","Person","60"
"2008M03","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2008M03","Czech Republic","Total","Total","Total","Asylum applicant","Person","180"
"2008M03","Czech Republic","Total","Total","Total","First time applicant","Person","135"
"2008M03","Denmark","Total","Total","Total","Asylum applicant","Person","130"
"2008M03","Denmark","Total","Total","Total","First time applicant","Person","130"
"2008M03","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","2,030"
"2008M03","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","1,545"
"2008M03","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2008M03","Estonia","Total","Total","Total","First time applicant","Person","0"
"2008M03","Ireland","Total","Total","Total","Asylum applicant","Person","300"
"2008M03","Ireland","Total","Total","Total","First time applicant","Person","295"
"2008M03","Greece","Total","Total","Total","Asylum applicant","Person","1,505"
"2008M03","Greece","Total","Total","Total","First time applicant","Person",":"
"2008M03","Spain","Total","Total","Total","Asylum applicant","Person","335"
"2008M03","Spain","Total","Total","Total","First time applicant","Person",":"
"2008M03","France","Total","Total","Total","Asylum applicant","Person","2,910"
"2008M03","France","Total","Total","Total","First time applicant","Person",":"
"2008M03","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2008M03","Croatia","Total","Total","Total","First time applicant","Person",":"
"2008M03","Italy","Total","Total","Total","Asylum applicant","Person","1,800"
"2008M03","Italy","Total","Total","Total","First time applicant","Person","1,800"
"2008M03","Cyprus","Total","Total","Total","Asylum applicant","Person","425"
"2008M03","Cyprus","Total","Total","Total","First time applicant","Person","425"
"2008M03","Latvia","Total","Total","Total","Asylum applicant","Person","5"
"2008M03","Latvia","Total","Total","Total","First time applicant","Person","0"
"2008M03","Lithuania","Total","Total","Total","Asylum applicant","Person","45"
"2008M03","Lithuania","Total","Total","Total","First time applicant","Person",":"
"2008M03","Luxembourg","Total","Total","Total","Asylum applicant","Person","30"
"2008M03","Luxembourg","Total","Total","Total","First time applicant","Person",":"
"2008M03","Hungary","Total","Total","Total","Asylum applicant","Person","225"
"2008M03","Hungary","Total","Total","Total","First time applicant","Person",":"
"2008M03","Malta","Total","Total","Total","Asylum applicant","Person","110"
"2008M03","Malta","Total","Total","Total","First time applicant","Person","110"
"2008M03","Netherlands","Total","Total","Total","Asylum applicant","Person","1,020"
"2008M03","Netherlands","Total","Total","Total","First time applicant","Person","885"
"2008M03","Austria","Total","Total","Total","Asylum applicant","Person","805"
"2008M03","Austria","Total","Total","Total","First time applicant","Person",":"
"2008M03","Poland","Total","Total","Total","Asylum applicant","Person","655"
"2008M03","Poland","Total","Total","Total","First time applicant","Person","510"
"2008M03","Portugal","Total","Total","Total","Asylum applicant","Person","10"
"2008M03","Portugal","Total","Total","Total","First time applicant","Person","10"
"2008M03","Romania","Total","Total","Total","Asylum applicant","Person","110"
"2008M03","Romania","Total","Total","Total","First time applicant","Person",":"
"2008M03","Slovenia","Total","Total","Total","Asylum applicant","Person","10"
"2008M03","Slovenia","Total","Total","Total","First time applicant","Person","10"
"2008M03","Slovakia","Total","Total","Total","Asylum applicant","Person","65"
"2008M03","Slovakia","Total","Total","Total","First time applicant","Person",":"
"2008M03","Finland","Total","Total","Total","Asylum applicant","Person","110"
"2008M03","Finland","Total","Total","Total","First time applicant","Person",":"
"2008M03","Sweden","Total","Total","Total","Asylum applicant","Person","1,680"
"2008M03","Sweden","Total","Total","Total","First time applicant","Person","1,645"
"2008M03","United Kingdom","Total","Total","Total","Asylum applicant","Person",":"
"2008M03","United Kingdom","Total","Total","Total","First time applicant","Person","2,580"
"2008M03","Iceland","Total","Total","Total","Asylum applicant","Person","0"
"2008M03","Iceland","Total","Total","Total","First time applicant","Person",":"
"2008M03","Liechtenstein","Total","Total","Total","Asylum applicant","Person","0"
"2008M03","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2008M03","Norway","Total","Total","Total","Asylum applicant","Person","830"
"2008M03","Norway","Total","Total","Total","First time applicant","Person","810"
"2008M03","Switzerland","Total","Total","Total","Asylum applicant","Person","880"
"2008M03","Switzerland","Total","Total","Total","First time applicant","Person","775"
"2008M03","Total","Total","Total","Total","Asylum applicant","Person","17,360"
"2008M03","Total","Total","Total","Total","First time applicant","Person","12,410"
"2008M04","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","17,090"
"2008M04","European Union (28 countries)","Total","Total","Total","First time applicant","Person","11,010"
"2008M04","Belgium","Total","Total","Total","Asylum applicant","Person","1,115"
"2008M04","Belgium","Total","Total","Total","First time applicant","Person","770"
"2008M04","Bulgaria","Total","Total","Total","Asylum applicant","Person","55"
"2008M04","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2008M04","Czech Republic","Total","Total","Total","Asylum applicant","Person","135"
"2008M04","Czech Republic","Total","Total","Total","First time applicant","Person","100"
"2008M04","Denmark","Total","Total","Total","Asylum applicant","Person","160"
"2008M04","Denmark","Total","Total","Total","First time applicant","Person","160"
"2008M04","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","2,230"
"2008M04","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","1,695"
"2008M04","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2008M04","Estonia","Total","Total","Total","First time applicant","Person","0"
"2008M04","Ireland","Total","Total","Total","Asylum applicant","Person","300"
"2008M04","Ireland","Total","Total","Total","First time applicant","Person","295"
"2008M04","Greece","Total","Total","Total","Asylum applicant","Person","1,715"
"2008M04","Greece","Total","Total","Total","First time applicant","Person",":"
"2008M04","Spain","Total","Total","Total","Asylum applicant","Person","460"
"2008M04","Spain","Total","Total","Total","First time applicant","Person",":"
"2008M04","France","Total","Total","Total","Asylum applicant","Person","3,485"
"2008M04","France","Total","Total","Total","First time applicant","Person",":"
"2008M04","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2008M04","Croatia","Total","Total","Total","First time applicant","Person",":"
"2008M04","Italy","Total","Total","Total","Asylum applicant","Person","1,780"
"2008M04","Italy","Total","Total","Total","First time applicant","Person","1,780"
"2008M04","Cyprus","Total","Total","Total","Asylum applicant","Person","310"
"2008M04","Cyprus","Total","Total","Total","First time applicant","Person","310"
"2008M04","Latvia","Total","Total","Total","Asylum applicant","Person","0"
"2008M04","Latvia","Total","Total","Total","First time applicant","Person","0"
"2008M04","Lithuania","Total","Total","Total","Asylum applicant","Person","60"
"2008M04","Lithuania","Total","Total","Total","First time applicant","Person",":"
"2008M04","Luxembourg","Total","Total","Total","Asylum applicant","Person","45"
"2008M04","Luxembourg","Total","Total","Total","First time applicant","Person",":"
"2008M04","Hungary","Total","Total","Total","Asylum applicant","Person","175"
"2008M04","Hungary","Total","Total","Total","First time applicant","Person",":"
"2008M04","Malta","Total","Total","Total","Asylum applicant","Person","200"
"2008M04","Malta","Total","Total","Total","First time applicant","Person","200"
"2008M04","Netherlands","Total","Total","Total","Asylum applicant","Person","1,085"
"2008M04","Netherlands","Total","Total","Total","First time applicant","Person","925"
"2008M04","Austria","Total","Total","Total","Asylum applicant","Person","885"
"2008M04","Austria","Total","Total","Total","First time applicant","Person",":"
"2008M04","Poland","Total","Total","Total","Asylum applicant","Person","735"
"2008M04","Poland","Total","Total","Total","First time applicant","Person","565"
"2008M04","Portugal","Total","Total","Total","Asylum applicant","Person","15"
"2008M04","Portugal","Total","Total","Total","First time applicant","Person","15"
"2008M04","Romania","Total","Total","Total","Asylum applicant","Person","45"
"2008M04","Romania","Total","Total","Total","First time applicant","Person",":"
"2008M04","Slovenia","Total","Total","Total","Asylum applicant","Person","15"
"2008M04","Slovenia","Total","Total","Total","First time applicant","Person","15"
"2008M04","Slovakia","Total","Total","Total","Asylum applicant","Person","75"
"2008M04","Slovakia","Total","Total","Total","First time applicant","Person",":"
"2008M04","Finland","Total","Total","Total","Asylum applicant","Person","135"
"2008M04","Finland","Total","Total","Total","First time applicant","Person",":"
"2008M04","Sweden","Total","Total","Total","Asylum applicant","Person","1,880"
"2008M04","Sweden","Total","Total","Total","First time applicant","Person","1,840"
"2008M04","United Kingdom","Total","Total","Total","Asylum applicant","Person",":"
"2008M04","United Kingdom","Total","Total","Total","First time applicant","Person","2,330"
"2008M04","Iceland","Total","Total","Total","Asylum applicant","Person","5"
"2008M04","Iceland","Total","Total","Total","First time applicant","Person",":"
"2008M04","Liechtenstein","Total","Total","Total","Asylum applicant","Person","0"
"2008M04","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2008M04","Norway","Total","Total","Total","Asylum applicant","Person","850"
"2008M04","Norway","Total","Total","Total","First time applicant","Person","820"
"2008M04","Switzerland","Total","Total","Total","Asylum applicant","Person","1,085"
"2008M04","Switzerland","Total","Total","Total","First time applicant","Person","975"
"2008M04","Total","Total","Total","Total","Asylum applicant","Person","19,030"
"2008M04","Total","Total","Total","Total","First time applicant","Person","12,805"
"2008M05","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","17,210"
"2008M05","European Union (28 countries)","Total","Total","Total","First time applicant","Person","11,840"
"2008M05","Belgium","Total","Total","Total","Asylum applicant","Person","1,130"
"2008M05","Belgium","Total","Total","Total","First time applicant","Person","820"
"2008M05","Bulgaria","Total","Total","Total","Asylum applicant","Person","75"
"2008M05","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2008M05","Czech Republic","Total","Total","Total","Asylum applicant","Person","100"
"2008M05","Czech Republic","Total","Total","Total","First time applicant","Person","60"
"2008M05","Denmark","Total","Total","Total","Asylum applicant","Person","155"
"2008M05","Denmark","Total","Total","Total","First time applicant","Person","155"
"2008M05","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","2,035"
"2008M05","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","1,600"
"2008M05","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2008M05","Estonia","Total","Total","Total","First time applicant","Person","0"
"2008M05","Ireland","Total","Total","Total","Asylum applicant","Person","300"
"2008M05","Ireland","Total","Total","Total","First time applicant","Person","295"
"2008M05","Greece","Total","Total","Total","Asylum applicant","Person","1,790"
"2008M05","Greece","Total","Total","Total","First time applicant","Person",":"
"2008M05","Spain","Total","Total","Total","Asylum applicant","Person","420"
"2008M05","Spain","Total","Total","Total","First time applicant","Person",":"
"2008M05","France","Total","Total","Total","Asylum applicant","Person","2,830"
"2008M05","France","Total","Total","Total","First time applicant","Person",":"
"2008M05","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2008M05","Croatia","Total","Total","Total","First time applicant","Person",":"
"2008M05","Italy","Total","Total","Total","Asylum applicant","Person","2,850"
"2008M05","Italy","Total","Total","Total","First time applicant","Person","2,850"
"2008M05","Cyprus","Total","Total","Total","Asylum applicant","Person","315"
"2008M05","Cyprus","Total","Total","Total","First time applicant","Person","315"
"2008M05","Latvia","Total","Total","Total","Asylum applicant","Person","0"
"2008M05","Latvia","Total","Total","Total","First time applicant","Person","0"
"2008M05","Lithuania","Total","Total","Total","Asylum applicant","Person","50"
"2008M05","Lithuania","Total","Total","Total","First time applicant","Person",":"
"2008M05","Luxembourg","Total","Total","Total","Asylum applicant","Person","20"
"2008M05","Luxembourg","Total","Total","Total","First time applicant","Person",":"
"2008M05","Hungary","Total","Total","Total","Asylum applicant","Person","195"
"2008M05","Hungary","Total","Total","Total","First time applicant","Person",":"
"2008M05","Malta","Total","Total","Total","Asylum applicant","Person","190"
"2008M05","Malta","Total","Total","Total","First time applicant","Person","190"
"2008M05","Netherlands","Total","Total","Total","Asylum applicant","Person","1,160"
"2008M05","Netherlands","Total","Total","Total","First time applicant","Person","1,010"
"2008M05","Austria","Total","Total","Total","Asylum applicant","Person","830"
"2008M05","Austria","Total","Total","Total","First time applicant","Person",":"
"2008M05","Poland","Total","Total","Total","Asylum applicant","Person","585"
"2008M05","Poland","Total","Total","Total","First time applicant","Person","460"
"2008M05","Portugal","Total","Total","Total","Asylum applicant","Person","10"
"2008M05","Portugal","Total","Total","Total","First time applicant","Person","10"
"2008M05","Romania","Total","Total","Total","Asylum applicant","Person","55"
"2008M05","Romania","Total","Total","Total","First time applicant","Person",":"
"2008M05","Slovenia","Total","Total","Total","Asylum applicant","Person","45"
"2008M05","Slovenia","Total","Total","Total","First time applicant","Person","45"
"2008M05","Slovakia","Total","Total","Total","Asylum applicant","Person","75"
"2008M05","Slovakia","Total","Total","Total","First time applicant","Person",":"
"2008M05","Finland","Total","Total","Total","Asylum applicant","Person","200"
"2008M05","Finland","Total","Total","Total","First time applicant","Person",":"
"2008M05","Sweden","Total","Total","Total","Asylum applicant","Person","1,780"
"2008M05","Sweden","Total","Total","Total","First time applicant","Person","1,750"
"2008M05","United Kingdom","Total","Total","Total","Asylum applicant","Person",":"
"2008M05","United Kingdom","Total","Total","Total","First time applicant","Person","2,270"
"2008M05","Iceland","Total","Total","Total","Asylum applicant","Person","10"
"2008M05","Iceland","Total","Total","Total","First time applicant","Person",":"
"2008M05","Liechtenstein","Total","Total","Total","Asylum applicant","Person","0"
"2008M05","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2008M05","Norway","Total","Total","Total","Asylum applicant","Person","995"
"2008M05","Norway","Total","Total","Total","First time applicant","Person","960"
"2008M05","Switzerland","Total","Total","Total","Asylum applicant","Person","900"
"2008M05","Switzerland","Total","Total","Total","First time applicant","Person","815"
"2008M05","Total","Total","Total","Total","Asylum applicant","Person","19,115"
"2008M05","Total","Total","Total","Total","First time applicant","Person","13,615"
"2008M06","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","17,635"
"2008M06","European Union (28 countries)","Total","Total","Total","First time applicant","Person","12,085"
"2008M06","Belgium","Total","Total","Total","Asylum applicant","Person","1,290"
"2008M06","Belgium","Total","Total","Total","First time applicant","Person","915"
"2008M06","Bulgaria","Total","Total","Total","Asylum applicant","Person","50"
"2008M06","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2008M06","Czech Republic","Total","Total","Total","Asylum applicant","Person","115"
"2008M06","Czech Republic","Total","Total","Total","First time applicant","Person","55"
"2008M06","Denmark","Total","Total","Total","Asylum applicant","Person","145"
"2008M06","Denmark","Total","Total","Total","First time applicant","Person","145"
"2008M06","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","2,125"
"2008M06","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","1,670"
"2008M06","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2008M06","Estonia","Total","Total","Total","First time applicant","Person","0"
"2008M06","Ireland","Total","Total","Total","Asylum applicant","Person","330"
"2008M06","Ireland","Total","Total","Total","First time applicant","Person","320"
"2008M06","Greece","Total","Total","Total","Asylum applicant","Person","1,745"
"2008M06","Greece","Total","Total","Total","First time applicant","Person",":"
"2008M06","Spain","Total","Total","Total","Asylum applicant","Person","345"
"2008M06","Spain","Total","Total","Total","First time applicant","Person",":"
"2008M06","France","Total","Total","Total","Asylum applicant","Person","3,280"
"2008M06","France","Total","Total","Total","First time applicant","Person",":"
"2008M06","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2008M06","Croatia","Total","Total","Total","First time applicant","Person",":"
"2008M06","Italy","Total","Total","Total","Asylum applicant","Person","2,680"
"2008M06","Italy","Total","Total","Total","First time applicant","Person","2,680"
"2008M06","Cyprus","Total","Total","Total","Asylum applicant","Person","275"
"2008M06","Cyprus","Total","Total","Total","First time applicant","Person","275"
"2008M06","Latvia","Total","Total","Total","Asylum applicant","Person","5"
"2008M06","Latvia","Total","Total","Total","First time applicant","Person","5"
"2008M06","Lithuania","Total","Total","Total","Asylum applicant","Person","35"
"2008M06","Lithuania","Total","Total","Total","First time applicant","Person",":"
"2008M06","Luxembourg","Total","Total","Total","Asylum applicant","Person","35"
"2008M06","Luxembourg","Total","Total","Total","First time applicant","Person",":"
"2008M06","Hungary","Total","Total","Total","Asylum applicant","Person","150"
"2008M06","Hungary","Total","Total","Total","First time applicant","Person",":"
"2008M06","Malta","Total","Total","Total","Asylum applicant","Person","230"
"2008M06","Malta","Total","Total","Total","First time applicant","Person","230"
"2008M06","Netherlands","Total","Total","Total","Asylum applicant","Person","1,310"
"2008M06","Netherlands","Total","Total","Total","First time applicant","Person","1,165"
"2008M06","Austria","Total","Total","Total","Asylum applicant","Person","805"
"2008M06","Austria","Total","Total","Total","First time applicant","Person",":"
"2008M06","Poland","Total","Total","Total","Asylum applicant","Person","565"
"2008M06","Poland","Total","Total","Total","First time applicant","Person","480"
"2008M06","Portugal","Total","Total","Total","Asylum applicant","Person","35"
"2008M06","Portugal","Total","Total","Total","First time applicant","Person","35"
"2008M06","Romania","Total","Total","Total","Asylum applicant","Person","85"
"2008M06","Romania","Total","Total","Total","First time applicant","Person",":"
"2008M06","Slovenia","Total","Total","Total","Asylum applicant","Person","10"
"2008M06","Slovenia","Total","Total","Total","First time applicant","Person","10"
"2008M06","Slovakia","Total","Total","Total","Asylum applicant","Person","90"
"2008M06","Slovakia","Total","Total","Total","First time applicant","Person",":"
"2008M06","Finland","Total","Total","Total","Asylum applicant","Person","245"
"2008M06","Finland","Total","Total","Total","First time applicant","Person",":"
"2008M06","Sweden","Total","Total","Total","Asylum applicant","Person","1,655"
"2008M06","Sweden","Total","Total","Total","First time applicant","Person","1,630"
"2008M06","United Kingdom","Total","Total","Total","Asylum applicant","Person",":"
"2008M06","United Kingdom","Total","Total","Total","First time applicant","Person","2,465"
"2008M06","Iceland","Total","Total","Total","Asylum applicant","Person","5"
"2008M06","Iceland","Total","Total","Total","First time applicant","Person",":"
"2008M06","Liechtenstein","Total","Total","Total","Asylum applicant","Person","5"
"2008M06","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2008M06","Norway","Total","Total","Total","Asylum applicant","Person","1,070"
"2008M06","Norway","Total","Total","Total","First time applicant","Person","1,040"
"2008M06","Switzerland","Total","Total","Total","Asylum applicant","Person","1,170"
"2008M06","Switzerland","Total","Total","Total","First time applicant","Person","1,045"
"2008M06","Total","Total","Total","Total","Asylum applicant","Person","19,885"
