"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2008Q1","Ireland","Total","Total","Total","Geneva Convention status","Person","115"
"2008Q1","Ireland","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Ireland","Total","Total","Total","Rejected","Person","785"
"2008Q1","Greece","Total","Total","Total","Total","Person","880"
"2008Q1","Greece","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Greece","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Greece","Total","Total","Total","Humanitarian status","Person","0"
"2008Q1","Greece","Total","Total","Total","Rejected","Person","880"
"2008Q1","Spain","Total","Total","Total","Total","Person","1,490"
"2008Q1","Spain","Total","Total","Total","Total positive decisions","Person","110"
"2008Q1","Spain","Total","Total","Total","Geneva Convention status","Person","60"
"2008Q1","Spain","Total","Total","Total","Humanitarian status","Person","0"
"2008Q1","Spain","Total","Total","Total","Rejected","Person","1,380"
"2008Q1","France","Total","Total","Total","Total","Person","8,075"
"2008Q1","France","Total","Total","Total","Total positive decisions","Person","1,395"
"2008Q1","France","Total","Total","Total","Geneva Convention status","Person","1,325"
"2008Q1","France","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","France","Total","Total","Total","Rejected","Person","6,675"
"2008Q1","Croatia","Total","Total","Total","Total","Person",":"
"2008Q1","Croatia","Total","Total","Total","Total positive decisions","Person",":"
"2008Q1","Croatia","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q1","Croatia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Croatia","Total","Total","Total","Rejected","Person",":"
"2008Q1","Italy","Total","Total","Total","Total","Person","3,230"
"2008Q1","Italy","Total","Total","Total","Total positive decisions","Person","1,275"
"2008Q1","Italy","Total","Total","Total","Geneva Convention status","Person","305"
"2008Q1","Italy","Total","Total","Total","Humanitarian status","Person","550"
"2008Q1","Italy","Total","Total","Total","Rejected","Person","1,960"
"2008Q1","Cyprus","Total","Total","Total","Total","Person","0"
"2008Q1","Cyprus","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Cyprus","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q1","Cyprus","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Cyprus","Total","Total","Total","Rejected","Person",":"
"2008Q1","Latvia","Total","Total","Total","Total","Person","5"
"2008Q1","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Latvia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Latvia","Total","Total","Total","Rejected","Person","5"
"2008Q1","Lithuania","Total","Total","Total","Total","Person","20"
"2008Q1","Lithuania","Total","Total","Total","Total positive decisions","Person","15"
"2008Q1","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Lithuania","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Lithuania","Total","Total","Total","Rejected","Person","5"
"2008Q1","Luxembourg","Total","Total","Total","Total","Person","125"
"2008Q1","Luxembourg","Total","Total","Total","Total positive decisions","Person","25"
"2008Q1","Luxembourg","Total","Total","Total","Geneva Convention status","Person","20"
"2008Q1","Luxembourg","Total","Total","Total","Humanitarian status","Person","5"
"2008Q1","Luxembourg","Total","Total","Total","Rejected","Person","100"
"2008Q1","Hungary","Total","Total","Total","Total","Person","105"
"2008Q1","Hungary","Total","Total","Total","Total positive decisions","Person","70"
"2008Q1","Hungary","Total","Total","Total","Geneva Convention status","Person","20"
"2008Q1","Hungary","Total","Total","Total","Humanitarian status","Person","50"
"2008Q1","Hungary","Total","Total","Total","Rejected","Person","35"
"2008Q1","Malta","Total","Total","Total","Total","Person","610"
"2008Q1","Malta","Total","Total","Total","Total positive decisions","Person","565"
"2008Q1","Malta","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Malta","Total","Total","Total","Humanitarian status","Person","0"
"2008Q1","Malta","Total","Total","Total","Rejected","Person","45"
"2008Q1","Netherlands","Total","Total","Total","Total","Person","2,360"
"2008Q1","Netherlands","Total","Total","Total","Total positive decisions","Person","1,405"
"2008Q1","Netherlands","Total","Total","Total","Geneva Convention status","Person","170"
"2008Q1","Netherlands","Total","Total","Total","Humanitarian status","Person","865"
"2008Q1","Netherlands","Total","Total","Total","Rejected","Person","950"
"2008Q1","Austria","Total","Total","Total","Total","Person","3,480"
"2008Q1","Austria","Total","Total","Total","Total positive decisions","Person","965"
"2008Q1","Austria","Total","Total","Total","Geneva Convention status","Person","635"
"2008Q1","Austria","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Austria","Total","Total","Total","Rejected","Person","2,515"
"2008Q1","Poland","Total","Total","Total","Total","Person","1,340"
"2008Q1","Poland","Total","Total","Total","Total positive decisions","Person","490"
"2008Q1","Poland","Total","Total","Total","Geneva Convention status","Person","25"
"2008Q1","Poland","Total","Total","Total","Humanitarian status","Person","465"
"2008Q1","Poland","Total","Total","Total","Rejected","Person","850"
"2008Q1","Portugal","Total","Total","Total","Total","Person","35"
"2008Q1","Portugal","Total","Total","Total","Total positive decisions","Person","30"
"2008Q1","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q1","Portugal","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Portugal","Total","Total","Total","Rejected","Person","0"
"2008Q1","Romania","Total","Total","Total","Total","Person","95"
"2008Q1","Romania","Total","Total","Total","Total positive decisions","Person","45"
"2008Q1","Romania","Total","Total","Total","Geneva Convention status","Person","45"
"2008Q1","Romania","Total","Total","Total","Humanitarian status","Person","0"
"2008Q1","Romania","Total","Total","Total","Rejected","Person","50"
"2008Q1","Slovenia","Total","Total","Total","Total","Person","60"
"2008Q1","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Slovenia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Slovenia","Total","Total","Total","Rejected","Person","60"
"2008Q1","Slovakia","Total","Total","Total","Total","Person","110"
"2008Q1","Slovakia","Total","Total","Total","Total positive decisions","Person","20"
"2008Q1","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Slovakia","Total","Total","Total","Humanitarian status","Person","0"
"2008Q1","Slovakia","Total","Total","Total","Rejected","Person","95"
"2008Q1","Finland","Total","Total","Total","Total","Person","345"
"2008Q1","Finland","Total","Total","Total","Total positive decisions","Person","155"
"2008Q1","Finland","Total","Total","Total","Geneva Convention status","Person","15"
"2008Q1","Finland","Total","Total","Total","Humanitarian status","Person","45"
"2008Q1","Finland","Total","Total","Total","Rejected","Person","195"
"2008Q1","Sweden","Total","Total","Total","Total","Person","6,140"
"2008Q1","Sweden","Total","Total","Total","Total positive decisions","Person","1,540"
"2008Q1","Sweden","Total","Total","Total","Geneva Convention status","Person","235"
"2008Q1","Sweden","Total","Total","Total","Humanitarian status","Person","530"
"2008Q1","Sweden","Total","Total","Total","Rejected","Person","4,595"
"2008Q1","United Kingdom","Total","Total","Total","Total","Person","5,320"
"2008Q1","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,675"
"2008Q1","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,160"
"2008Q1","United Kingdom","Total","Total","Total","Humanitarian status","Person","470"
"2008Q1","United Kingdom","Total","Total","Total","Rejected","Person","3,650"
"2008Q1","Iceland","Total","Total","Total","Total","Person","0"
"2008Q1","Iceland","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Iceland","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q1","Iceland","Total","Total","Total","Humanitarian status","Person","0"
"2008Q1","Iceland","Total","Total","Total","Rejected","Person","0"
"2008Q1","Liechtenstein","Total","Total","Total","Total","Person","5"
"2008Q1","Liechtenstein","Total","Total","Total","Total positive decisions","Person","0"
"2008Q1","Liechtenstein","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q1","Liechtenstein","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Liechtenstein","Total","Total","Total","Rejected","Person","5"
"2008Q1","Norway","Total","Total","Total","Total","Person","1,550"
"2008Q1","Norway","Total","Total","Total","Total positive decisions","Person","580"
"2008Q1","Norway","Total","Total","Total","Geneva Convention status","Person","240"
"2008Q1","Norway","Total","Total","Total","Humanitarian status","Person","155"
"2008Q1","Norway","Total","Total","Total","Rejected","Person","970"
"2008Q1","Switzerland","Total","Total","Total","Total","Person","1,580"
"2008Q1","Switzerland","Total","Total","Total","Total positive decisions","Person","1,070"
"2008Q1","Switzerland","Total","Total","Total","Geneva Convention status","Person","420"
"2008Q1","Switzerland","Total","Total","Total","Humanitarian status","Person","455"
"2008Q1","Switzerland","Total","Total","Total","Rejected","Person","510"
"2008Q1","Total","Total","Total","Total","Total","Person","47,640"
"2008Q1","Total","Total","Total","Total","Total positive decisions","Person","14,650"
"2008Q1","Total","Total","Total","Total","Geneva Convention status","Person","7,490"
"2008Q1","Total","Total","Total","Total","Humanitarian status","Person","3,735"
"2008Q1","Total","Total","Total","Total","Rejected","Person","32,990"
"2008Q2","European Union (28 countries)","Total","Total","Total","Total","Person","52,450"
"2008Q2","European Union (28 countries)","Total","Total","Total","Total positive decisions","Person","14,260"
"2008Q2","European Union (28 countries)","Total","Total","Total","Geneva Convention status","Person","7,080"
"2008Q2","European Union (28 countries)","Total","Total","Total","Humanitarian status","Person","3,280"
"2008Q2","European Union (28 countries)","Total","Total","Total","Rejected","Person","38,190"
"2008Q2","Belgium","Total","Total","Total","Total","Person","3,735"
"2008Q2","Belgium","Total","Total","Total","Total positive decisions","Person","1,060"
"2008Q2","Belgium","Total","Total","Total","Geneva Convention status","Person","925"
"2008Q2","Belgium","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Belgium","Total","Total","Total","Rejected","Person","2,675"
"2008Q2","Bulgaria","Total","Total","Total","Total","Person","220"
"2008Q2","Bulgaria","Total","Total","Total","Total positive decisions","Person","105"
"2008Q2","Bulgaria","Total","Total","Total","Geneva Convention status","Person","10"
"2008Q2","Bulgaria","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Bulgaria","Total","Total","Total","Rejected","Person","115"
"2008Q2","Czech Republic","Total","Total","Total","Total","Person","385"
"2008Q2","Czech Republic","Total","Total","Total","Total positive decisions","Person","70"
"2008Q2","Czech Republic","Total","Total","Total","Geneva Convention status","Person","30"
"2008Q2","Czech Republic","Total","Total","Total","Humanitarian status","Person","10"
"2008Q2","Czech Republic","Total","Total","Total","Rejected","Person","315"
"2008Q2","Denmark","Total","Total","Total","Total","Person","425"
"2008Q2","Denmark","Total","Total","Total","Total positive decisions","Person","225"
"2008Q2","Denmark","Total","Total","Total","Geneva Convention status","Person","75"
"2008Q2","Denmark","Total","Total","Total","Humanitarian status","Person","35"
"2008Q2","Denmark","Total","Total","Total","Rejected","Person","200"
"2008Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","Person","4,255"
"2008Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","1,690"
"2008Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,555"
"2008Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Humanitarian status","Person","100"
"2008Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","2,565"
"2008Q2","Estonia","Total","Total","Total","Total","Person","5"
"2008Q2","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q2","Estonia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Estonia","Total","Total","Total","Rejected","Person","5"
"2008Q2","Ireland","Total","Total","Total","Total","Person","855"
"2008Q2","Ireland","Total","Total","Total","Total positive decisions","Person","75"
"2008Q2","Ireland","Total","Total","Total","Geneva Convention status","Person","75"
"2008Q2","Ireland","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Ireland","Total","Total","Total","Rejected","Person","780"
"2008Q2","Greece","Total","Total","Total","Total","Person","7,525"
"2008Q2","Greece","Total","Total","Total","Total positive decisions","Person","15"
"2008Q2","Greece","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q2","Greece","Total","Total","Total","Humanitarian status","Person","15"
"2008Q2","Greece","Total","Total","Total","Rejected","Person","7,510"
"2008Q2","Spain","Total","Total","Total","Total","Person","880"
"2008Q2","Spain","Total","Total","Total","Total positive decisions","Person","20"
"2008Q2","Spain","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q2","Spain","Total","Total","Total","Humanitarian status","Person","5"
"2008Q2","Spain","Total","Total","Total","Rejected","Person","860"
"2008Q2","France","Total","Total","Total","Total","Person","7,250"
"2008Q2","France","Total","Total","Total","Total positive decisions","Person","1,305"
"2008Q2","France","Total","Total","Total","Geneva Convention status","Person","1,265"
"2008Q2","France","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","France","Total","Total","Total","Rejected","Person","5,945"
"2008Q2","Croatia","Total","Total","Total","Total","Person",":"
"2008Q2","Croatia","Total","Total","Total","Total positive decisions","Person",":"
"2008Q2","Croatia","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q2","Croatia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Croatia","Total","Total","Total","Rejected","Person",":"
"2008Q2","Italy","Total","Total","Total","Total","Person","4,385"
"2008Q2","Italy","Total","Total","Total","Total positive decisions","Person","1,850"
"2008Q2","Italy","Total","Total","Total","Geneva Convention status","Person","470"
"2008Q2","Italy","Total","Total","Total","Humanitarian status","Person","270"
"2008Q2","Italy","Total","Total","Total","Rejected","Person","2,540"
"2008Q2","Cyprus","Total","Total","Total","Total","Person","0"
"2008Q2","Cyprus","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Cyprus","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q2","Cyprus","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Cyprus","Total","Total","Total","Rejected","Person",":"
"2008Q2","Latvia","Total","Total","Total","Total","Person","0"
"2008Q2","Latvia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q2","Latvia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Latvia","Total","Total","Total","Rejected","Person","0"
"2008Q2","Lithuania","Total","Total","Total","Total","Person","20"
"2008Q2","Lithuania","Total","Total","Total","Total positive decisions","Person","15"
"2008Q2","Lithuania","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q2","Lithuania","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Lithuania","Total","Total","Total","Rejected","Person","10"
"2008Q2","Luxembourg","Total","Total","Total","Total","Person","170"
"2008Q2","Luxembourg","Total","Total","Total","Total positive decisions","Person","95"
"2008Q2","Luxembourg","Total","Total","Total","Geneva Convention status","Person","15"
"2008Q2","Luxembourg","Total","Total","Total","Humanitarian status","Person","80"
"2008Q2","Luxembourg","Total","Total","Total","Rejected","Person","75"
"2008Q2","Hungary","Total","Total","Total","Total","Person","255"
"2008Q2","Hungary","Total","Total","Total","Total positive decisions","Person","125"
"2008Q2","Hungary","Total","Total","Total","Geneva Convention status","Person","90"
"2008Q2","Hungary","Total","Total","Total","Humanitarian status","Person","25"
"2008Q2","Hungary","Total","Total","Total","Rejected","Person","130"
"2008Q2","Malta","Total","Total","Total","Total","Person","555"
"2008Q2","Malta","Total","Total","Total","Total positive decisions","Person","130"
"2008Q2","Malta","Total","Total","Total","Geneva Convention status","Person","10"
"2008Q2","Malta","Total","Total","Total","Humanitarian status","Person","0"
"2008Q2","Malta","Total","Total","Total","Rejected","Person","425"
"2008Q2","Netherlands","Total","Total","Total","Total","Person","3,020"
"2008Q2","Netherlands","Total","Total","Total","Total positive decisions","Person","1,340"
"2008Q2","Netherlands","Total","Total","Total","Geneva Convention status","Person","150"
"2008Q2","Netherlands","Total","Total","Total","Humanitarian status","Person","810"
"2008Q2","Netherlands","Total","Total","Total","Rejected","Person","1,680"
"2008Q2","Austria","Total","Total","Total","Total","Person","3,085"
"2008Q2","Austria","Total","Total","Total","Total positive decisions","Person","895"
"2008Q2","Austria","Total","Total","Total","Geneva Convention status","Person","545"
"2008Q2","Austria","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Austria","Total","Total","Total","Rejected","Person","2,190"
"2008Q2","Poland","Total","Total","Total","Total","Person","1,290"
"2008Q2","Poland","Total","Total","Total","Total positive decisions","Person","1,050"
"2008Q2","Poland","Total","Total","Total","Geneva Convention status","Person","40"
"2008Q2","Poland","Total","Total","Total","Humanitarian status","Person","1,010"
"2008Q2","Poland","Total","Total","Total","Rejected","Person","240"
"2008Q2","Portugal","Total","Total","Total","Total","Person","30"
"2008Q2","Portugal","Total","Total","Total","Total positive decisions","Person","15"
"2008Q2","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q2","Portugal","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Portugal","Total","Total","Total","Rejected","Person","15"
"2008Q2","Romania","Total","Total","Total","Total","Person","110"
"2008Q2","Romania","Total","Total","Total","Total positive decisions","Person","15"
"2008Q2","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2008Q2","Romania","Total","Total","Total","Humanitarian status","Person","0"
"2008Q2","Romania","Total","Total","Total","Rejected","Person","95"
"2008Q2","Slovenia","Total","Total","Total","Total","Person","35"
"2008Q2","Slovenia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q2","Slovenia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Slovenia","Total","Total","Total","Rejected","Person","35"
"2008Q2","Slovakia","Total","Total","Total","Total","Person","70"
"2008Q2","Slovakia","Total","Total","Total","Total positive decisions","Person","10"
"2008Q2","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q2","Slovakia","Total","Total","Total","Humanitarian status","Person","0"
"2008Q2","Slovakia","Total","Total","Total","Rejected","Person","60"
"2008Q2","Finland","Total","Total","Total","Total","Person","425"
"2008Q2","Finland","Total","Total","Total","Total positive decisions","Person","190"
"2008Q2","Finland","Total","Total","Total","Geneva Convention status","Person","40"
"2008Q2","Finland","Total","Total","Total","Humanitarian status","Person","40"
"2008Q2","Finland","Total","Total","Total","Rejected","Person","240"
"2008Q2","Sweden","Total","Total","Total","Total","Person","7,260"
"2008Q2","Sweden","Total","Total","Total","Total positive decisions","Person","2,085"
"2008Q2","Sweden","Total","Total","Total","Geneva Convention status","Person","465"
"2008Q2","Sweden","Total","Total","Total","Humanitarian status","Person","305"
"2008Q2","Sweden","Total","Total","Total","Rejected","Person","5,175"
"2008Q2","United Kingdom","Total","Total","Total","Total","Person","6,205"
"2008Q2","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,885"
"2008Q2","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,290"
"2008Q2","United Kingdom","Total","Total","Total","Humanitarian status","Person","570"
"2008Q2","United Kingdom","Total","Total","Total","Rejected","Person","4,320"
"2008Q2","Iceland","Total","Total","Total","Total","Person","10"
"2008Q2","Iceland","Total","Total","Total","Total positive decisions","Person","5"
"2008Q2","Iceland","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q2","Iceland","Total","Total","Total","Humanitarian status","Person","0"
"2008Q2","Iceland","Total","Total","Total","Rejected","Person","10"
"2008Q2","Liechtenstein","Total","Total","Total","Total","Person","5"
"2008Q2","Liechtenstein","Total","Total","Total","Total positive decisions","Person","0"
"2008Q2","Liechtenstein","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q2","Liechtenstein","Total","Total","Total","Humanitarian status","Person",":"
"2008Q2","Liechtenstein","Total","Total","Total","Rejected","Person","5"
"2008Q2","Norway","Total","Total","Total","Total","Person","2,010"
"2008Q2","Norway","Total","Total","Total","Total positive decisions","Person","635"
"2008Q2","Norway","Total","Total","Total","Geneva Convention status","Person","190"
"2008Q2","Norway","Total","Total","Total","Humanitarian status","Person","190"
"2008Q2","Norway","Total","Total","Total","Rejected","Person","1,375"
"2008Q2","Switzerland","Total","Total","Total","Total","Person","2,135"
"2008Q2","Switzerland","Total","Total","Total","Total positive decisions","Person","1,450"
"2008Q2","Switzerland","Total","Total","Total","Geneva Convention status","Person","595"
"2008Q2","Switzerland","Total","Total","Total","Humanitarian status","Person","615"
"2008Q2","Switzerland","Total","Total","Total","Rejected","Person","685"
"2008Q2","Total","Total","Total","Total","Total","Person","56,610"
"2008Q2","Total","Total","Total","Total","Total positive decisions","Person","16,350"
"2008Q2","Total","Total","Total","Total","Geneva Convention status","Person","7,870"
"2008Q2","Total","Total","Total","Total","Humanitarian status","Person","4,085"
"2008Q2","Total","Total","Total","Total","Rejected","Person","40,260"
"2008Q3","European Union (28 countries)","Total","Total","Total","Total","Person","54,785"
"2008Q3","European Union (28 countries)","Total","Total","Total","Total positive decisions","Person","14,795"
"2008Q3","European Union (28 countries)","Total","Total","Total","Geneva Convention status","Person","6,585"
"2008Q3","European Union (28 countries)","Total","Total","Total","Humanitarian status","Person","2,735"
"2008Q3","European Union (28 countries)","Total","Total","Total","Rejected","Person","39,990"
"2008Q3","Belgium","Total","Total","Total","Total","Person","2,915"
"2008Q3","Belgium","Total","Total","Total","Total positive decisions","Person","860"
"2008Q3","Belgium","Total","Total","Total","Geneva Convention status","Person","755"
"2008Q3","Belgium","Total","Total","Total","Humanitarian status","Person",":"
"2008Q3","Belgium","Total","Total","Total","Rejected","Person","2,055"
"2008Q3","Bulgaria","Total","Total","Total","Total","Person","235"
"2008Q3","Bulgaria","Total","Total","Total","Total positive decisions","Person","105"
"2008Q3","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q3","Bulgaria","Total","Total","Total","Humanitarian status","Person",":"
"2008Q3","Bulgaria","Total","Total","Total","Rejected","Person","125"
"2008Q3","Czech Republic","Total","Total","Total","Total","Person","245"
"2008Q3","Czech Republic","Total","Total","Total","Total positive decisions","Person","45"
"2008Q3","Czech Republic","Total","Total","Total","Geneva Convention status","Person","30"
"2008Q3","Czech Republic","Total","Total","Total","Humanitarian status","Person","5"
"2008Q3","Czech Republic","Total","Total","Total","Rejected","Person","200"
"2008Q3","Denmark","Total","Total","Total","Total","Person","335"
"2008Q3","Denmark","Total","Total","Total","Total positive decisions","Person","200"
"2008Q3","Denmark","Total","Total","Total","Geneva Convention status","Person","45"
"2008Q3","Denmark","Total","Total","Total","Humanitarian status","Person","80"
"2008Q3","Denmark","Total","Total","Total","Rejected","Person","135"
"2008Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","Person","4,740"
"2008Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,110"
"2008Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,960"
"2008Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Humanitarian status","Person","115"
"2008Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","2,630"
"2008Q3","Estonia","Total","Total","Total","Total","Person","0"
"2008Q3","Estonia","Total","Total","Total","Total positive decisions","Person","0"
"2008Q3","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q3","Estonia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q3","Estonia","Total","Total","Total","Rejected","Person","0"
"2008Q3","Ireland","Total","Total","Total","Total","Person","935"
"2008Q3","Ireland","Total","Total","Total","Total positive decisions","Person","65"
"2008Q3","Ireland","Total","Total","Total","Geneva Convention status","Person","65"
"2008Q3","Ireland","Total","Total","Total","Humanitarian status","Person",":"
"2008Q3","Ireland","Total","Total","Total","Rejected","Person","870"
"2008Q3","Greece","Total","Total","Total","Total","Person","9,325"
"2008Q3","Greece","Total","Total","Total","Total positive decisions","Person","0"
"2008Q3","Greece","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q3","Greece","Total","Total","Total","Humanitarian status","Person","0"
"2008Q3","Greece","Total","Total","Total","Rejected","Person","9,320"
"2008Q3","Spain","Total","Total","Total","Total","Person","1,300"
"2008Q3","Spain","Total","Total","Total","Total positive decisions","Person","75"
"2008Q3","Spain","Total","Total","Total","Geneva Convention status","Person","35"
"2008Q3","Spain","Total","Total","Total","Humanitarian status","Person","5"
"2008Q3","Spain","Total","Total","Total","Rejected","Person","1,225"
"2008Q3","France","Total","Total","Total","Total","Person","7,915"
"2008Q3","France","Total","Total","Total","Total positive decisions","Person","1,235"
"2008Q3","France","Total","Total","Total","Geneva Convention status","Person","915"
"2008Q3","France","Total","Total","Total","Humanitarian status","Person",":"
"2008Q3","France","Total","Total","Total","Rejected","Person","6,680"
"2008Q3","Croatia","Total","Total","Total","Total","Person",":"
"2008Q3","Croatia","Total","Total","Total","Total positive decisions","Person",":"
"2008Q3","Croatia","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q3","Croatia","Total","Total","Total","Humanitarian status","Person",":"
